claim_id,claim_as_the_paper_will_state_it,tag,producing_artifact_path_relative_to_3_invention_loop,number_and_its_producing_file_path,neighbour_ids,status
C01,Refusal is mediated by a low-rank direction removable by orthogonalising every residual-stream writer; the field default is all-layer removal.,OBSERVATION,(external),n/a,N1,NEIGHBOUR NAMED
C02,An English-derived refusal direction transfers across languages with near-perfect effectiveness when ablated at all layers and positions.,OBSERVATION,(external),n/a,"N2,N24",NEIGHBOUR NAMED (with the contradicting line N24 cited beside it)
C03,"At matched total removal energy AND matched layer count, which 12-layer band carries the energy decides residual Slovene refusal in GaMS3: 0.24 (contiguous 13-24) vs 0.81 (stride-4), diff -0.57 [-0.70,-0.44].",OBSERVATION,iter_3/gen_art/gen_art_experiment_10,"0.24 / 0.81 / -0.57 [-0.70,-0.44] - iter_3/gen_art/gen_art_experiment_10/results/report_tables.md (E3_B2_vs_STR4 row)","N4,N6,N10,N12,N22",NEIGHBOUR NAMED; delta = matched-energy AND matched-count construction
C04,"The pre-registered broad-beats-narrow prediction was FALSIFIED IN THE OPPOSITE DIRECTION: narrow-and-strong minus broad-and-weak SL refusal = -0.10 [-0.150,-0.060].",FAILED HYPOTHESIS,iter_3/gen_art/gen_art_experiment_10,"-0.10 [-0.150,-0.060], Holm p 0.000 - iter_3/gen_art/gen_art_experiment_10/results/report_tables.md (PB2 row)",N12,NEIGHBOUR NAMED (N12 reports the same non-additivity in transplantation)
C05,Nested decomposition in GaMS3: logE alone R2 0.325; logE + where the energy sits 0.718; logE + how many layers 0.400.,OBSERVATION,iter_3/gen_art/gen_art_experiment_10,0.325 / 0.718 / 0.400 - iter_3/gen_art/gen_art_experiment_10/results/report_tables.md (nested R2 table),"N10,N12",NEIGHBOUR NAMED
C06,"In Gemma, lowest reachable SL refusal is monotone in the fraction of layers 13-24 covered (Spearman -0.942, permutation p = 0.0038).",OBSERVATION,iter_3/gen_art/gen_art_experiment_9,"-0.942, p 0.0038 - iter_3/gen_art/gen_art_experiment_9/results/report_tables.md (band-density lines 268-270)","N10,N12,N28",NEIGHBOUR NAMED
C07,Leave-one-band-out: sparing layers 25-36 costs Slovene +0.39 residual refusal and English 0.00.,OBSERVATION,iter_3/gen_art/gen_art_experiment_9,+0.39 / 0.00 - iter_3/gen_art/gen_art_experiment_9/results/report_tables.md,N28,"NEIGHBOUR NAMED (N28 reports no single layer is necessary, English only)"
C08,"Depth-coverage as a LAYER COUNT does not explain the residual: dR2 0.040 [0.006,0.136] with leave-one-out -0.002 and a permutation placebo larger on average; MDE 0.071 < the 0.10 bar (powered rejection).",FAILED HYPOTHESIS,iter_3/gen_art/gen_art_experiment_9,"dR2 0.040 [0.006,0.136]; LOO -0.002; MDE 0.071 - iter_3/gen_art/gen_art_experiment_9/results/report_tables.md (P1)","N10,N11",NEIGHBOUR NAMED
C09,"The count-based depth index does not generalise as an instrument: Spearman(index, residual) = -0.009 [-0.131,0.192] over 21 rows, permutation p 0.16.",FAILED HYPOTHESIS,iter_3/gen_art/gen_art_experiment_12,"-0.009 [-0.131,0.192], p 0.1628 - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P1)","N3,N6",NEIGHBOUR NAMED
C10,EN/target-language direction COSINE also fails as a transfer predictor: Spearman +0.010 on the same rows.,OBSERVATION,iter_3/gen_art/gen_art_experiment_12,B_cos 0.01 - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P4),N9,NEIGHBOUR NAMED (N9 states cosine is unreliable cross-architecture; cross-lingual weight-edit case not found)
C11,"Two one-forward-pass baselines beat both geometric predictors with paired item-bootstrap CIs excluding zero: single-site causal transfer rho +0.732 (delta -0.741 [-0.810,-0.528]); unedited in-language refusal rate rho +0.661 (delta -0.670 [-0.721,-0.497]).",OBSERVATION,iter_3/gen_art/gen_art_experiment_12,B_ss 0.73 / B_base 0.66 with deltas - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P4) and results/report_tables.md T4,"N3,N7,N8","NO NEIGHBOUR FOUND for the conjunction (see search_log.md rows 2,4,8,11,13,18,20,21); partial neighbours named"
C12,Practitioner recommendation: use the unedited in-language refusal rate and a single-site causal probe as the baselines any proposed placement instrument must beat.,INTERPRETATION,iter_3/gen_art/gen_art_experiment_12,no new number; derived from C11 - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P4),"N3,N7","NO NEIGHBOUR FOUND after the searches logged in results/search_log.md rows 2,4,8,11,13,18,20,21 (evidenced absence)"
C13,Heretic's real trial-96 adapter on held-out items leaves EN 0.60 / DE 0.53 / LT 0.75 / SL 0.92 from a 0.93-0.98 no-op.,OBSERVATION,iter_3/gen_art/gen_art_experiment_12,0.60/0.53/0.75/0.92 - iter_3/gen_art/gen_art_experiment_12/results/report_tables.md (W3 rows),"N2,N24,N25",NEIGHBOUR NAMED
C14,The substring objective never leaves 72-100/100 across all 116 candidate draws while judged refusal spans 7-98/100.,OBSERVATION,iter_3/gen_art/gen_art_experiment_11,72/100 floor; 7-98/100 judged - iter_3/gen_art/gen_art_experiment_11/README.md and results/miscalibration_table.csv,"N14,N17",NEIGHBOUR NAMED; delta is the SELECTION side (N17 closest)
C15,"Objective mean absolute error 30.6 per 100 candidates vs 2.1 for the distilled partial-aware classifier; certified kappa 0.143 vs 0.858 [0.820,0.888] on 20 held-out replayed trials.",OBSERVATION,iter_3/gen_art/gen_art_experiment_11,"30.6 / 2.1 / .143 / .858 [.820,.888] - iter_3/gen_art/gen_art_experiment_11/scorer/certification.json and results/miscalibration_table.csv","N14,N15,N16,N18",NEIGHBOUR NAMED
C16,"This is a SELECTION failure inside an optimiser, not evaluation noise: post-hoc rescoring of candidates the search already held recovers the effect.",INTERPRETATION,iter_3/gen_art/gen_art_experiment_11,"305/305 checks re-derived, 3 placebos failed as required - iter_3/gen_art/gen_art_experiment_11/results/audit_headline.json",N17,NEIGHBOUR NAMED (AdvPrefix owns the general point; claim must be narrowed)
C17,The corrected objective is NOT a better edit: its own pre-registered falsifier P7 fired - dose for dose the keyword edit scaled to equal English refusal achieves comparable gap reduction.,FAILED HYPOTHESIS,iter_3/gen_art/gen_art_experiment_11,"gap +0.68 -> +0.38 [0.29,0.47] corrected vs +0.33 dose-scaled - iter_3/gen_art/gen_art_experiment_11/results/eval_analysis.json and README.md",N17,NEIGHBOUR NAMED
C18,Substring/non-refusal metrics overstate how much refusal was removed at EVALUATION time.,OBSERVATION,(external),n/a,"N14,N15,N16,N18","NEIGHBOUR NAMED - prior work, cited as such"
C19,"The measured EN-SL gap on the Gemma edit ranges from +0.06 (keyword strict) to +0.69 (LLM judge strict), with PARTIAL as the wedge.",OBSERVATION,iter_3/gen_art/gen_art_evaluation_1,gap range - iter_3/gen_art/gen_art_evaluation_1/results/gap_range_summary.csv,"N14,N15,N18",NEIGHBOUR NAMED
C20,Abliterated checkpoints are used in published work as the 'unaligned counterfactual' for measuring safety cost across languages.,OBSERVATION,(external),n/a,"N20,N21",NEIGHBOUR NAMED
C21,"Because an English-selected edit does not reach the same behavioural state in every language, an abliterated checkpoint is a language-dependent counterfactual.",INTERPRETATION,iter_3/gen_art/gen_art_experiment_12,from C13 - iter_3/gen_art/gen_art_experiment_12/results/report_tables.md,"N20,N21",NEIGHBOUR NAMED
C22,"Harm is linearly separable in both languages in the unedited models (cross-language harm AUROC > 0.995), so the behavioural gap is not a representation-absence failure.",OBSERVATION,iter_2/gen_art/gen_art_experiment_5,AUROC > .995 - iter_2/gen_art/gen_art_experiment_5 results (T5); recomputed rows in iter_3/gen_art/gen_art_evaluation_1/results/corrected_numbers.json,"N25,N13,N24",NEIGHBOUR NAMED
C23,"Safety-sensitive DEPTHS differ by language (prior work), and this run's contribution is the consequence for edit placement, not the observation itself.",INTERPRETATION,(external + iter_3/gen_art/gen_art_experiment_10),n/a,"N22,N23",NEIGHBOUR NAMED - claim NARROWED after this search
C24,"Heretic's default selection objective on master is still a 33-marker substring counter over an English prompt set, although a benchmark scorer (#444, merged Sep 3 2026) and dataset config selection (#445, merged Sep 5 2026) now exist, and the community multilingual set covers 9 languages with no Slovene.",OBSERVATION,"(external, dated 2026-09-24)",n/a,N27,NEIGHBOUR NAMED (the tool itself); statement bound to the access date
C25,"A language-identity direction cuts Slovene residual refusal but destroys language modelling, so it is unusable as a repair.",FAILED HYPOTHESIS,iter_2/gen_art/gen_art_experiment_8,SL harmful .86 -> .55; FLORES dNLL +2.02 EN / +1.93 SL - iter_2/gen_art/gen_art_experiment_8/results/report_tables.md (A4),N29,NEIGHBOUR NAMED
C26,Utility deltas are automatic-metric only; the 'utility preserved' reading is bounded by that.,OBSERVATION,iter_2/gen_art/gen_art_experiment_5,"macro task changes <= 0.20 points; FLORES NLL changes <= 0.002 - iter_2/gen_art/gen_art_experiment_5 results/analysis (T3,T4), recomputed in iter_3/gen_art/gen_art_evaluation_1/results/corrected_numbers.json",N19,NEIGHBOUR NAMED
C27,No native-speaker review has been carried out anywhere in the run; five packets are ready and PENDING.,UNEXECUTED PROPOSAL,iter_3/gen_art/gen_art_evaluation_1,5 packets with paths and n - iter_3/gen_art/gen_art_evaluation_1/results/pending_human_review.md,"N19,N18",NEIGHBOUR NAMED (both bound the automatic-only reading)
C28,A second independent LLM judge arm was never run in iteration 1 (HTTP 403 daily key limit).,UNEXECUTED PROPOSAL,iter_1/gen_art/gen_art_experiment_1,"0 judgements - iter_1/gen_art/gen_art_experiment_1/results/judge_sl.json, ledger row in iter_3/gen_art/gen_art_evaluation_1/results/dead_end_ledger.md",N18,NEIGHBOUR NAMED
C29,"RefusEU EN and SL rows sharing a row_id are NOT translations (0 of 1,400 pairs grade T), so paired cross-language claims use the separately translated S5X set only.",OBSERVATION,iter_1/gen_art/gen_art_dataset_1,0/1400 - iter_1/gen_art/gen_art_dataset_1/data/reports/refuseu_correspondence.json,N21,NEIGHBOUR NAMED
C30,"The '2-3 middle layers' depth claim exists in arXiv 2607.02714 SS3.2 as an attribution to Arditi et al.; we could not locate it in Arditi et al. (2406.11717v3) by the queries run, and 2607.02714 itself rejects it for modern models.",OBSERVATION,(external; this artifact's own verification pass),n/a - see results/unverified_claims.md SS1,"N1,N10",NEIGHBOUR NAMED; inherited NOT VERIFIED flag RESOLVED with a correction
