study,checkpoint,lang,prompt_set,n,n_judged,executed,decoding,seed,claimed_in_draft
exp4 C1 behaviour,community_ref,en,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,community_ref,en,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,community_ref,en,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,community_ref,sl,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,community_ref,sl,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,community_ref,sl,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_edit,en,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_edit,en,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_edit,en,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_edit,sl,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_edit,sl,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_edit,sl,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_orig,en,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_orig,en,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_orig,en,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_orig,sl,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_orig,sl,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gams_orig,sl,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_edit,en,S5,280,279,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_edit,en,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_edit,en,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_edit,sl,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_edit,sl,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_edit,sl,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_orig,en,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_orig,en,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_orig,en,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_orig,sl,S5,280,280,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_orig,sl,S5X,50,50,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp4 C1 behaviour,gemma_orig,sl,S6,150,150,True,"greedy, 256 new tokens, NF4",n/a (greedy); one Heretic optimisation seed per model,True
exp5 utility,gams_edit,en,arc_challenge,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,sl,arc_challenge,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,en,boolq,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,sl,boolq,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,en,hellaswag,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,sl,hellaswag,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,en,openbookqa,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,sl,openbookqa,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,en,piqa,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,sl,piqa,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,en,winogrande,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_edit,sl,winogrande,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_orig,en,arc_challenge,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_orig,sl,arc_challenge,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_orig,en,boolq,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_orig,sl,boolq,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
exp5 utility,gams_orig,en,hellaswag,250,250,True,"0-shot log-likelihood (harness replica), NF4",n/a,True
