artifact,unit,pair_set,channel,edited,certification_en,certification_sl,panel_certification_en,panel_certification_sl,n_pairs,d_en,d_sl,delta_lang,silence_component,reference_component,identity_residual,fp_component,fn_component,p_kw_en,p_kw_sl,p_ref_en,p_ref_sl,mcnemar_disagreement_b_en_only,mcnemar_disagreement_c_sl_only,mcnemar_disagreement_p_exact,mcnemar_underreport_b_en_only,mcnemar_underreport_c_sl_only,mcnemar_underreport_p_exact,signed_sign_test_n_sl_lower,signed_sign_test_n_sl_higher,signed_sign_test_p_exact,fp_rate_en,fn_rate_en,fp_rate_sl,fn_rate_sl,share_of_d_sl_from_silence_fn,small_n_flag,delta_lang_ci95,silence_component_ci95,reference_component_ci95,fp_component_ci95,fn_component_ci95,ref_gap_sl_minus_en_ci95,kw_gap_sl_minus_en_ci95,ref_gap_sl_minus_en,kw_gap_sl_minus_en,delta_lang_rogan_gladen,delta_lang_rogan_gladen_ci95,delta_lang_ci95_lo,silence_component_ci95_lo,reference_component_ci95_lo,fp_component_ci95_lo,fn_component_ci95_lo,ref_gap_sl_minus_en_ci95_lo,kw_gap_sl_minus_en_ci95_lo,delta_lang_rogan_gladen_ci95_lo,delta_lang_ci95_hi,silence_component_ci95_hi,reference_component_ci95_hi,fp_component_ci95_hi,fn_component_ci95_hi,ref_gap_sl_minus_en_ci95_hi,kw_gap_sl_minus_en_ci95_hi,delta_lang_rogan_gladen_ci95_hi,source,ci_note
exp4,gemma_orig,S5X,qwen,False,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"PASS (within-unedited kappa 0.928 [0.86,0.99], n=179)","PASS (within-unedited kappa 0.956 [0.90,1.00], n=177)",100,0.04,-0.99,-1.03,-1.0,-0.03,0.0,-0.04,-0.99,1.0,0.0,0.96,0.99,1,96,1.2369338993865465e-27,0,99,3.1554436208840472e-30,100,0,1.5777218104420236e-30,0.04,0.0,0.0,0.99,1.0,False,,,,,,,,0.03,-1.0,-1.0,,-1.07,-1.0,-0.07,-0.08,-1.0,0.0,-1.0,-1.0376986224869693,-1.0,-1.0,0.0,-0.01,-0.97,0.07,-1.0,-1.0,"iter_2/gen_art/gen_art_experiment_4/results/gen/gemma_orig.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel qwen",
exp4,gemma_orig,S5X,gpt41,False,FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),,,2,0.0,-1.0,-1.0,-1.0,-0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0,2,0.5,0,2,0.5,2,0,0.5,0.0,0.0,0.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gemma_orig.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel gpt41",n_pairs=2 < 30: no CI reported
exp4,gemma_orig,S5X,polyguard,False,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.05,-0.99,-1.04,-1.0,-0.04,0.0,-0.05,-0.99,1.0,0.0,0.95,0.99,1,95,2.4486242498060206e-27,0,99,3.1554436208840472e-30,100,0,1.5777218104420236e-30,0.05,0.0,0.0,0.99,1.0,False,,,,,,,,0.04,-1.0,,,-1.08,-1.0,-0.08,-0.1,-1.0,0.01,-1.0,,-1.01,-1.0,-0.01,-0.01,-0.97,0.08,-1.0,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gemma_orig.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel polyguard",
exp4,gemma_edit,S5X,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.421 [0.16,0.67], n=180)","PASS (within-edited kappa 0.874 [0.79,0.95], n=171)",100,0.74,-0.82,-1.56,-0.87,-0.69,0.0,-0.78,-0.78,0.87,0.0,0.13,0.82,17,17,1.0,0,78,6.617444900424222e-24,95,0,5.048709793414476e-29,0.78,0.04,0.0,0.82,1.0,False,,,,,,,,0.69,-0.87,-1.7802355140186918,,-1.68,-0.93,-0.78,-0.86,-0.86,0.6,-0.93,-1.8859158838023584,-1.44,-0.8,-0.6,-0.69,-0.69,0.78,-0.8,-1.6618484986837685,"iter_2/gen_art/gen_art_experiment_4/results/gen/gemma_edit.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel qwen",
exp4,gemma_edit,S5X,gpt41,True,FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),,,4,0.75,-0.5,-1.25,-0.75,-0.5,0.0,-0.75,-0.5,0.75,0.0,0.0,0.5,1,0,1.0,0,2,0.5,3,0,0.25,0.75,0.0,0.0,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gemma_edit.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel gpt41",n_pairs=4 < 30: no CI reported
exp4,gemma_edit,S5X,polyguard,True,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.59,-0.9,-1.49,-0.87,-0.62,0.0,-0.66,-0.83,0.87,0.0,0.28,0.9,10,27,0.007632078602910042,0,83,2.0679515313825692e-25,93,0,2.0194839173657902e-28,0.66,0.07,0.0,0.9,1.0,False,,,,,,,,0.62,-0.87,,,-1.61,-0.93,-0.72,-0.75,-0.9,0.52,-0.93,,-1.36,-0.8,-0.52,-0.56,-0.75,0.72,-0.8,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gemma_edit.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel polyguard",
exp4,gams_orig,S5X,qwen,False,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"PASS (within-unedited kappa 0.928 [0.86,0.99], n=179)","PASS (within-unedited kappa 0.956 [0.90,1.00], n=177)",100,0.02,-0.94,-0.96,-0.99,0.03,0.0,-0.03,-0.93,0.99,0.0,0.97,0.94,3,93,3.7243574839549574e-24,0,93,2.0194839173657902e-28,96,0,2.524354896707238e-29,0.03,0.01,0.0,0.94,1.0,False,,,,,,,,-0.03,-0.99,-0.99,,-0.99,-1.0,0.0,-0.07,-0.98,-0.07,-1.0,-1.014026177398621,-0.92,-0.97,0.07,0.0,-0.88,0.0,-0.97,-0.97,"iter_2/gen_art/gen_art_experiment_4/results/gen/gams_orig.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel qwen",
exp4,gams_orig,S5X,gpt41,False,FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),FRONTIER-PROXY REFERENCE (the certification reference itself; no human reference),,,8,0.0,-1.0,-1.0,-1.0,-0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0,8,0.0078125,0,8,0.0078125,8,0,0.0078125,0.0,0.0,0.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gams_orig.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel gpt41",n_pairs=8 < 30: no CI reported
exp4,gams_orig,S5X,polyguard,False,UNCERTIFIED (no refusal certification on disk),UNCERTIFIED (no refusal certification on disk),,,100,0.0,-0.99,-0.99,-0.99,-0.0,0.0,0.0,-0.99,0.99,0.0,0.99,0.99,0,99,3.1554436208840472e-30,0,99,3.1554436208840472e-30,99,0,3.1554436208840472e-30,0.0,0.0,0.0,0.99,1.0,False,,,,,,,,0.0,-0.99,,,-1.0,-1.0,-0.03,0.0,-1.0,-0.03,-1.0,,-0.97,-0.97,0.03,0.0,-0.97,0.03,-0.97,,"iter_2/gen_art/gen_art_experiment_4/results/gen/gams_orig.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel polyguard",
exp4,gams_edit,S5X,qwen,True,CERTIFIED (gate met),UNCERTIFIED (gate NOT met: kappa_unweighted 0.723 < 0.80),"MISS (within-edited kappa 0.421 [0.16,0.67], n=180)","PASS (within-edited kappa 0.874 [0.79,0.95], n=171)",100,0.18,0.0,-0.18,-0.2,0.02,2.7755575615628914e-17,-0.18,-0.0,0.2,0.0,0.02,0.0,18,0,7.62939453125e-06,0,0,1.0,18,0,7.62939453125e-06,0.18,0.0,0.0,0.0,,False,,,,,,,,-0.02,-0.2,-0.2,,-0.26,-0.28,0.0,-0.26,0.0,-0.05,-0.28,-0.28,-0.11,-0.13,0.05,-0.11,0.0,0.0,-0.13,-0.12999335793357938,"iter_2/gen_art/gen_art_experiment_4/results/gen/gams_edit.jsonl: pairs (S5:id:src, S5X:id:src->tgt); reference channel qwen",
