source,path,exists,bytes,sha256,provenance_class,note,evidence,headline_eligible
exp4:full_method_out.json,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,True,7130932.0,bcb2b5a8667c554d5186b3fde64e6d3270d6d7c68a565bdc4c7c0b4d0970c440,REAL_RUN_SUBSTITUTE_SCORER_CERTIFIED,"4,800 real greedy generations (5 ckpts x 960 prompts). Class labels: local Qwen3-14B substituted for gpt-4.1 after a budget block at 716/3,840 items; certified vs gpt-4.1 kappa .83 (6-way) / .91 (refused-vs-not). ASR from the official RefusEU guard pipeline (Llama-Guard-3-8B + PolyGuard), full coverage.",exp4/README.md; exp4/results/judge_local_cert.json; exp4/results/judge_blocked.json,True
exp4:results/headline_table.csv,iter_2/gen_art/gen_art_experiment_4/results/headline_table.csv,True,2811.0,9af1b0f3e1513a1e77a47655ab7bcf1c189c2334cd4b6f93736d1b712044bc76,REAL_RUN_SUBSTITUTE_SCORER_CERTIFIED,summary of the row above,exp4/headline_table.py,True
exp5:results/judged_generations.jsonl,iter_2/gen_art/gen_art_experiment_5/results/judged_generations.jsonl,True,3587925.0,1efa56876d2e9bc3c0f0dd58594bf1e9e26aa792dd5aa4a8b8ad21fddf3f182b,REAL_RUN_PARTIAL_COVERAGE,gpt-4.1 labels on a random ~52% of S4 harmful generations (run budget exhausted),exp5/README.md,False
exp5:results/utility_items.parquet,iter_2/gen_art/gen_art_experiment_5/results/utility_items.parquet,True,641966.0,cbea0f6b92480124bf4f8fc50b133d86511bec020748ffaedadb6c4f138fc0e3,REAL_RUN,"6 tasks x 250 items x EN/SL x 4 ckpts, harness-replica scorer",exp5/README.md,True
exp5:results/analysis/tables.md,iter_2/gen_art/gen_art_experiment_5/results/analysis/tables.md,True,20086.0,d54392d52a6cbd870593dcfcfbcf22df920ee5958ea09def5ab46bd68eb38f1e,REAL_RUN,"T12 dose-response columns 'marker refusal' are SUBSTRING (keyword) rates, a discredited scorer; the R_seq columns are a readout, not judged refusal",exp5/results/analysis/tables.md,True
exp11:results/eval_gen,iter_3/gen_art/gen_art_experiment_11/results/eval_gen,True,5224928.0,,REAL_RUN,"3,680 real generations over 8 Gemma arms",exp11/reproducibility.md,True
exp11:results/judge_out/eval_qwen.jsonl,iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_qwen.jsonl,True,1021437.0,2335011475232ef63df058b7d8eacfb211e3c9559588c0e421aa73b8b98fa355,REAL_RUN_SUBSTITUTE_SCORER_CERTIFIED,Qwen3-14B labels; gpt-4.1 purchase failed ($0.00); within-edited agreement with gpt-4.1 kappa .78 bounds every judged number (below the 0.80 gate -> treat judged rates as judge-sensitive),exp11/results/deviations.json,True
exp11:results/judge_out/eval_llamaguard.jsonl,iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_llamaguard.jsonl,True,416408.0,b6f14172ec52c67def1ae5f8f0cc7dcbc32326a4798a572c8c9021ad4381facd,REAL_RUN,"official guard, full coverage of S5/S5X/S4hoc",exp11/guard.py,True
exp11:results/judge_out/eval_polyguard.jsonl,iter_3/gen_art/gen_art_experiment_11/results/judge_out/eval_polyguard.jsonl,True,1142063.0,ee67680bdbca4f53b8e70c7e6be2090a0410ee1dde4f268fef9bd308355bfdd0,REAL_RUN,"official guard, full coverage",exp11/guard.py,True
exp11:results/inloop_gens.jsonl,iter_3/gen_art/gen_art_experiment_11/results/inloop_gens.jsonl,True,13816155.0,6c9e7a657d0d616c74abdb7b54dee39550f833ee9ddb09a908b49ab2fa330afc,REAL_RUN,in-loop Heretic generations (corrected run + TPE replay),exp11/reproducibility.md,True
exp13:results/per_item.csv,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv,True,2282551.0,61a2b78ae76c21390642afa5740ae220c503e2a73ea3c4ef64190e5c71ab5280,REAL_RUN_SUBSTITUTE_SCORER_CERTIFIED,"10,000 real generations judged by local Qwen3-14B; EN gate PASS (0.856), SL gate FAIL (0.744) -> SL numbers are JUDGE_SENSITIVE (see UNCERTIFIED row)",exp13/results/analysis.json:judge,True
exp13:results/per_item.csv[lang=sl],iter_4/gen_art/gen_art_experiment_13/results/per_item.csv,True,2282551.0,61a2b78ae76c21390642afa5740ae220c503e2a73ea3c4ef64190e5c71ab5280,REAL_RUN_SUBSTITUTE_SCORER_UNCERTIFIED,Slovene rows: within-edited kappa vs gpt-4.1 = 0.744 < 0.80,exp13/results/analysis.json:judge,False
exp13:configs/frozen_predictions.json,iter_4/gen_art/gen_art_experiment_13/configs/frozen_predictions.json,True,84594.0,8d6c34ad8823ec011bff7f5c708be4e05d92b9c618161c81c894218d2d2b4960,REAL_RUN,"frozen instrument (profiles, groups, g profiles)",exp13/configs/FREEZE.sha256,True
