cell,prompt_set,d_refusal_sl_minus_en,d_refusal_ci,d_guard_asr_sl_minus_en,d_guard_asr_ci,n_pairs_refusal,n_pairs_guard,ordering,both_cis_exclude_0,d_guard_safe_nonrefused_sl_minus_en,d_guard_safe_nonrefused_ci
exp4:gams_orig,S5X,-0.03,"[-0.07, 0.0]",0.0,"[-0.033707865168539325, 0.033707865168539325]",100,89,TIE,False,-0.05019305019305015,"[-0.47104247104247104, 0.3248069498069472]"
exp4:gams_edit,S5X,-0.02,"[-0.05, 0.0]",0.02127659574468085,"[0.0, 0.05319148936170213]",100,94,SAME_ORDER,False,0.005827505827505828,"[-0.015524475524475525, 0.027179487179487177]"
exp4:gemma_orig,S5X,0.03,"[0.0, 0.07]",-0.011363636363636364,"[-0.03409090909090909, 0.0]",100,88,SAME_ORDER,False,0.4385026737967914,"[0.133288770053476, 0.7058823529411765]"
exp4:gemma_edit,S5X,0.69,"[0.6, 0.78]",-0.7123287671232876,"[-0.8082191780821918, -0.6164383561643836]",100,73,SAME_ORDER,True,0.2313775510204082,"[0.12295918367346939, 0.3395408163265306]"
exp4:community_ref,S5X,0.12,"[0.05, 0.19]",-0.060240963855421686,"[-0.12078313253012046, 0.0]",100,83,SAME_ORDER,False,0.04209610784953251,"[0.012524461839530331, 0.07293052837573379]"
exp11:A_orig,S5X,0.04,"[0.01, 0.08]",-0.011363636363636364,"[-0.03409090909090909, 0.0]",100,88,SAME_ORDER,False,,
exp11:A_orig,S4hoc,0.014285714285714285,"[-0.02857142857142857, 0.07142857142857142]",0.023255813953488372,"[0.0, 0.06976744186046512]",70,43,OPPOSITE_ORDER,False,,
exp11:B_keyword_t96,S5X,0.68,"[0.59, 0.77]",-0.7297297297297297,"[-0.8243243243243243, -0.6216216216216216]",100,74,SAME_ORDER,True,,
exp11:B_keyword_t96,S4hoc,0.4,"[0.2571428571428571, 0.5289285714285695]",-0.47368421052631576,"[-0.631578947368421, -0.2894736842105263]",70,38,SAME_ORDER,True,,
exp11:C_corrected,S5X,0.38,"[0.29, 0.4702499999999986]",-0.3815789473684211,"[-0.5, -0.2631578947368421]",100,76,SAME_ORDER,True,,
exp11:C_corrected,S4hoc,0.38571428571428573,"[0.22857142857142856, 0.5285714285714286]",-0.3783783783783784,"[-0.5405405405405406, -0.21621621621621623]",70,37,SAME_ORDER,True,,
exp11:D2_reselected_judge,S5X,0.41,"[0.32, 0.51]",-0.42857142857142855,"[-0.5428571428571428, -0.3142857142857143]",100,70,SAME_ORDER,True,,
exp11:D2_reselected_judge,S4hoc,0.44285714285714284,"[0.3, 0.5857142857142857]",-0.4634146341463415,"[-0.6097560975609756, -0.3170731707317073]",70,41,SAME_ORDER,True,,
exp11:D_reselected_clf,S5X,0.3,"[0.21, 0.4]",-0.33766233766233766,"[-0.45454545454545453, -0.23376623376623376]",100,77,SAME_ORDER,True,,
exp11:D_reselected_clf,S4hoc,0.38571428571428573,"[0.24285714285714285, 0.5285714285714286]",-0.3333333333333333,"[-0.5, -0.19444444444444445]",70,36,SAME_ORDER,True,,
exp11:F_dose1.5,S5X,0.33,"[0.24, 0.43]",-0.30303030303030304,"[-0.42424242424242425, -0.19696969696969696]",100,66,SAME_ORDER,True,,
exp11:F_dose1.5,S4hoc,0.2857142857142857,"[0.15714285714285714, 0.42857142857142855]",-0.2978723404255319,"[-0.425531914893617, -0.1702127659574468]",70,47,SAME_ORDER,True,,
exp11:F_dose2.0,S5X,0.0,"[0.0, 0.0]",0.0,"[-0.03488372093023256, 0.03488372093023256]",100,86,TIE,False,,
exp11:F_dose2.0,S4hoc,-0.04285714285714286,"[-0.11428571428571428, 0.02857142857142857]",0.0,"[-0.05357142857142857, 0.05357142857142857]",70,56,TIE,False,,
exp11:F_dose3.0,S5X,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",100,86,TIE,False,,
exp11:F_dose3.0,S4hoc,0.0,"[0.0, 0.0]",0.016129032258064516,"[-0.03225806451612903, 0.06451612903225806]",70,62,TIE,False,,
