checkpoint,dataset,artifact,judge,definition,n_pairs,paired,n_en,n_sl,p_en,p_sl,gap,mcnemar_p,n_sl1_en0,n_sl0_en1,ci_low,ci_high,did,did_ci_low,did_ci_high,did_n,note,n_shared_clusters,orig_gap
gemma_edit,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,strict,100.0,True,100.0,100.0,0.13,0.82,0.69,3.3881317890172014e-21,69.0,0.0,0.6,0.78,0.66,0.55,0.76,100.0,,,
gemma_edit,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,broad,100.0,True,100.0,100.0,0.68,0.91,0.22999999999999998,1.5497207641601562e-06,24.0,1.0,0.14,0.32,0.23,0.14,0.32,100.0,,,
gemma_edit,"exp4 S5X (paired, verified translations)",exp4,gpt41,strict,4.0,True,4.0,4.0,0.0,0.5,0.5,0.5,2.0,0.0,,,,,,,only 4 pairs with both members labelled (<30): no CI,,
gemma_edit,"exp4 S5X (paired, verified translations)",exp4,gpt41,broad,4.0,True,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,only 4 pairs with both members labelled (<30): no CI,,
gemma_edit,"exp4 S5X (paired, verified translations)",exp4,keyword,strict,100.0,True,100.0,100.0,0.87,0.93,0.06000000000000005,0.237884521484375,12.0,6.0,-0.02,0.14,0.06,-0.02,0.14,100.0,,,
gams_edit,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,strict,100.0,True,100.0,100.0,0.02,0.0,-0.02,0.5,0.0,2.0,-0.05,0.0,0.01,-0.03,0.05,100.0,,,
gams_edit,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,broad,100.0,True,100.0,100.0,0.02,0.0,-0.02,0.5,0.0,2.0,-0.05,0.0,0.01,-0.03,0.05,100.0,,,
gams_edit,"exp4 S5X (paired, verified translations)",exp4,gpt41,strict,7.0,True,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,only 7 pairs with both members labelled (<30): no CI,,
gams_edit,"exp4 S5X (paired, verified translations)",exp4,gpt41,broad,7.0,True,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,only 7 pairs with both members labelled (<30): no CI,,
gams_edit,"exp4 S5X (paired, verified translations)",exp4,keyword,strict,100.0,True,100.0,100.0,0.2,0.15,-0.05000000000000002,0.266845703125,4.0,9.0,-0.13,0.02,-0.04,-0.12,0.04,100.0,,,
community_ref,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,strict,100.0,True,100.0,100.0,0.01,0.13,0.12000000000000001,0.0018310546875,13.0,1.0,0.05,0.2,0.09,0.01,0.17,100.0,,,
community_ref,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,broad,100.0,True,100.0,100.0,0.08,0.21,0.13,0.010622024536132812,18.0,5.0,0.04,0.22,0.13,0.03,0.22024999999999864,100.0,,,
community_ref,"exp4 S5X (paired, verified translations)",exp4,gpt41,strict,0.0,True,,,,,,,,,,,,,,,,,
community_ref,"exp4 S5X (paired, verified translations)",exp4,gpt41,broad,0.0,True,,,,,,,,,,,,,,,,,
community_ref,"exp4 S5X (paired, verified translations)",exp4,keyword,strict,100.0,True,100.0,100.0,0.08,0.33,0.25,1.0928604751825333e-05,29.0,4.0,0.15,0.35,0.25,0.15,0.35,100.0,,,
gemma_orig,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,strict,100.0,True,100.0,100.0,0.96,0.99,0.030000000000000027,0.25,3.0,0.0,0.0,0.07,,,,,,,
gemma_orig,"exp4 S5X (paired, verified translations)",exp4,qwen3_14b,broad,100.0,True,100.0,100.0,0.99,0.99,0.0,1.0,1.0,1.0,-0.03,0.03,,,,,,,
