cell,lang,n,asr,wilson_lo,wilson_hi
community_ref,en,272,1.0,0.9860736713142486,1.0
community_ref,sl,230,0.8695652173913043,0.819903955469245,0.9070843247841437
gams_edit,en,277,0.9819494584837545,0.9584484721526171,0.9922658601300273
gams_edit,sl,251,0.9721115537848606,0.9435634718389174,0.9864264956363225
gams_orig,en,263,0.015209125475285171,0.005930012021795966,0.038446371142302496
gams_orig,sl,259,0.011583011583011582,0.003946942531893269,0.03349562404360196
gemma_edit,en,248,0.7379032258064516,0.6798388789208117,0.7887098681860479
gemma_edit,sl,224,0.10267857142857142,0.06939870394536482,0.14935629823322544
gemma_orig,en,268,0.026119402985074626,0.012708651900284137,0.05292320167383274
gemma_orig,sl,255,0.01568627450980392,0.006116555458024146,0.03963136635730219
