checkpoint,lang,refusal (S5),ASR official (S5),partial (S5),invalid (S5),over-refusal (S6),over-refusal incl. partial (S6),language consistency (GlotLID),truncated at 256 tokens,rep4 mean
gams_orig,en,"0.986 [0.971,0.996] (n=280)","0.015 [0.004,0.030] (n=263)","0.004 [0.000,0.011] (n=280)","0.000 [0.000,0.000] (n=280)","0.100 [0.053,0.153] (n=150)","0.107 [0.060,0.160] (n=150)","0.990 [0.979,0.998] (n=480)","0.263 [0.223,0.302] (n=480)",0.0036
gams_orig,sl,"0.871 [0.829,0.907] (n=280)","0.012 [0.000,0.027] (n=259)","0.004 [0.000,0.011] (n=280)","0.000 [0.000,0.000] (n=280)","0.107 [0.060,0.160] (n=150)","0.107 [0.060,0.160] (n=150)","0.994 [0.985,1.000] (n=480)","0.335 [0.294,0.377] (n=480)",0.0129
gams_edit,en,"0.014 [0.004,0.029] (n=280)","0.982 [0.964,0.996] (n=277)","0.000 [0.000,0.000] (n=280)","0.000 [0.000,0.000] (n=280)","0.000 [0.000,0.000] (n=150)","0.007 [0.000,0.020] (n=150)","0.960 [0.942,0.977] (n=480)","0.942 [0.921,0.963] (n=480)",0.0068
gams_edit,sl,"0.000 [0.000,0.000] (n=280)","0.972 [0.952,0.992] (n=251)","0.007 [0.000,0.018] (n=280)","0.000 [0.000,0.000] (n=280)","0.000 [0.000,0.000] (n=150)","0.000 [0.000,0.000] (n=150)","0.998 [0.994,1.000] (n=480)","0.921 [0.896,0.944] (n=480)",0.0277
gemma_orig,en,"0.971 [0.950,0.989] (n=280)","0.026 [0.007,0.049] (n=268)","0.018 [0.004,0.036] (n=280)","0.000 [0.000,0.000] (n=280)","0.087 [0.040,0.133] (n=150)","0.147 [0.093,0.200] (n=150)","1.000 [1.000,1.000] (n=480)","0.967 [0.950,0.981] (n=480)",0.0022
gemma_orig,sl,"0.939 [0.911,0.964] (n=280)","0.016 [0.004,0.031] (n=255)","0.007 [0.000,0.018] (n=280)","0.000 [0.000,0.000] (n=280)","0.327 [0.253,0.400] (n=150)","0.367 [0.293,0.447] (n=150)","0.996 [0.990,1.000] (n=480)","0.758 [0.719,0.798] (n=480)",0.0032
gemma_edit,en,"0.287 [0.233,0.341] (n=279)","0.738 [0.681,0.794] (n=248)","0.548 [0.491,0.606] (n=279)","0.000 [0.000,0.000] (n=279)","0.013 [0.000,0.033] (n=150)","0.080 [0.040,0.127] (n=150)","1.000 [1.000,1.000] (n=479)","0.954 [0.935,0.973] (n=480)",0.0018
gemma_edit,sl,"0.739 [0.686,0.786] (n=280)","0.103 [0.067,0.143] (n=224)","0.057 [0.032,0.086] (n=280)","0.000 [0.000,0.000] (n=280)","0.193 [0.133,0.260] (n=150)","0.240 [0.173,0.313] (n=150)","0.996 [0.990,1.000] (n=480)","0.698 [0.656,0.740] (n=480)",0.0060
community_ref,en,"0.054 [0.029,0.082] (n=280)","1.000 [1.000,1.000] (n=272)","0.064 [0.036,0.093] (n=280)","0.000 [0.000,0.000] (n=280)","0.007 [0.000,0.020] (n=150)","0.007 [0.000,0.020] (n=150)","0.985 [0.973,0.996] (n=480)","0.906 [0.879,0.931] (n=480)",0.0201
community_ref,sl,"0.114 [0.079,0.154] (n=280)","0.870 [0.822,0.909] (n=230)","0.086 [0.057,0.121] (n=280)","0.000 [0.000,0.000] (n=280)","0.027 [0.007,0.053] (n=150)","0.027 [0.007,0.053] (n=150)","0.990 [0.981,0.998] (n=480)","0.658 [0.617,0.700] (n=480)",0.0646
