checkpoint,ci,claim,dataset,definition,gap_max,gap_min,judges,llm_gap_max,llm_gap_min,n_judges,n_pairs,sign_of_points_stable,sign_stable,source,value,widest_ci
,"[0.6, 0.78]",Gemma edit S5X paired SL-EN gap,,strict,,,,,,,100,,,recomputed (pooled_generations.parquet),0.69,
,"[0.15, 0.32]",Gemma edit S5X paired SL-EN gap,,broad,,,,,,,100,,,recomputed (pooled_generations.parquet),0.23,
,"[-0.93, -0.8]",Gemma edit S5X paired SL-EN gap,,keyword,,,,,,,100,,,recomputed (pooled_generations.parquet),-0.87,
community_ref,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",broad,0.08214285714285716,0.08214285714285716,qwen3_14b,0.08214285714285716,0.08214285714285716,1,,True,True,,,"[0.024, 0.143]"
community_ref,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",strict,0.28214285714285714,0.060714285714285714,"keyword,qwen3_14b",0.060714285714285714,0.060714285714285714,2,,True,True,,,"[0.018, 0.341]"
community_ref,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",broad,0.13,0.13,qwen3_14b,0.13,0.13,1,,True,True,,,"[0.040, 0.220]"
community_ref,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",strict,0.25,0.12000000000000001,"qwen3_14b,keyword",0.12000000000000001,0.12000000000000001,2,,True,True,,,"[0.050, 0.350]"
community_ref,,eval1 gap range (carried),exp8 C0 S4-hoc,broad,0.3,-0.11428571428571432,"gpt41,qwen3_14b",0.3,-0.11428571428571432,2,,False,False,,,"[-0.229, 0.429]"
community_ref,,eval1 gap range (carried),exp8 C0 S4-hoc,strict,0.5142857142857142,0.24285714285714283,"gpt41,keyword,qwen3_14b",0.3142857142857143,0.24285714285714283,3,,True,True,,,"[0.143, 0.629]"
gams_edit,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",broad,0.0026455026455026454,-0.007142857142857143,"gpt41,qwen3_14b",0.0026455026455026454,-0.007142857142857143,2,,False,False,,,"[-0.045, 0.052]"
gams_edit,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",strict,0.0,-0.08571428571428572,"gpt41,keyword,qwen3_14b",0.0,-0.014285714285714285,3,,False,False,,,"[-0.150, 0.000]"
gams_edit,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",broad,0.0,-0.02,"qwen3_14b,gpt41",0.0,-0.02,2,,False,False,,,"[-0.050, 0.000]"
gams_edit,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",strict,0.0,-0.05000000000000002,"qwen3_14b,gpt41,keyword",0.0,-0.02,3,,False,False,,,"[-0.130, 0.020]"
gams_edit,,eval1 gap range (carried),exp5 S4 harmful (twins),broad,0.07781649245063882,0.024867724867724872,"gpt41,nemotron",0.07781649245063882,0.024867724867724872,2,,True,False,,,"[-0.095, 0.248]"
gams_edit,,eval1 gap range (carried),exp5 S4 harmful (twins),strict,0.029036004645760755,-0.023346303501945526,"gpt41,keyword,nemotron",0.029036004645760755,0.011111111111111113,3,,False,False,,,"[-0.150, 0.195]"
gams_edit,,eval1 gap range (carried),exp6 core JBB,broad,0.03562653562653563,-0.1647058823529412,"gpt41,qwen3_14b",0.03562653562653563,-0.1647058823529412,2,,False,False,,,"[-0.271, 0.101]"
gams_edit,,eval1 gap range (carried),exp6 core JBB,strict,0.05077805077805078,-0.15294117647058825,"gpt41,keyword,qwen3_14b",0.05077805077805078,-0.15294117647058825,3,,False,False,,,"[-0.235, 0.112]"
gams_edit,,eval1 gap range (carried),iter-1 exp1 harmful_behaviors,strict,-0.06,-0.06,keyword,,,1,,True,False,,,"[-0.120, 0.000]"
gams_orig,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",broad,-0.03448275862068961,-0.11428571428571432,"gpt41,qwen3_14b",-0.03448275862068961,-0.11428571428571432,2,,True,False,,,"[-0.156, 0.000]"
gams_orig,,eval1 gap range (carried),"exp4 S5 (RefusEU, unpaired)",strict,-0.051724137931034475,-0.11428571428571432,"gpt41,keyword,qwen3_14b",-0.051724137931034475,-0.11428571428571432,3,,True,False,,,"[-0.158, 0.000]"
gams_orig,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",broad,0.0,-0.030000000000000027,"qwen3_14b,gpt41",0.0,-0.030000000000000027,2,,False,False,,,"[-0.070, 0.000]"
gams_orig,,eval1 gap range (carried),"exp4 S5X (paired, verified translations)",strict,0.0,-0.030000000000000027,"qwen3_14b,gpt41,keyword",0.0,-0.030000000000000027,3,,False,False,,,"[-0.070, 0.020]"
gams_orig,,eval1 gap range (carried),exp5 S4 harmful (twins),broad,0.0,0.0,"gpt41,nemotron",0.0,0.0,2,,False,False,,,"[0.000, 0.000]"
