line,token,context
5,1,acted from English harmful-vs-harmless contrasts [1]. The procedure was introduce
5,1,]. The procedure was introduced by Arditi et al. [1] and automated by tools such 
5,2,"on is universal across languages, as Wang et al. [2] report for safety-aligned mo"
5,14,"report for safety-aligned models evaluated across 14 languages, then abliteration "
7,4,ines of work inform this question. BabelSteering [4] and Yoon et al. [5] show tha
7,5,this question. BabelSteering [4] and Yoon et al. [5] show that safety alignment i
7,6,h users bearing higher utility loss. Aziz et al. [6] diagnose the breakdown point
7,7,nvert the representation into refusal. Wu et al. [7] formalise this as a disentan
7,8,"execution axis. On the abliteration side, Fafula [8] documents off-target effects"
7,14,"refusal removal across model families, and Young [14] and Petrov [15] compare abli"
7,15,"across model families, and Young [14] and Petrov [15] compare abliteration methods"
7,9,thods across architectures. Upadhyaya and Sikdar [9] analyse how safety and langu
7,10," identity become entangled, while Hawkins et al. [10] show that benign multilingua"
7,11,uning has heterogeneous safety impacts. Labunets [11] demonstrates that refusal ge
7,12,"ects relevant to our NF4 setup, Marchisio et al. [12] and Chimoto et al. [13] show"
7,13," setup, Marchisio et al. [12] and Chimoto et al. [13] show that quantisation calib"
7,16,atters for multilingual performance. Tang et al. [16] identify language-specific n
7,17,"fy language-specific neurons, and Ghussin et al. [17] propose principled layer sel"
7,18,layer selection for multilingual steering. Frank [18] argues that refusal-based al
9,12, a controlled bilingual setting using two sibling 12B models from the Gemma-3 fami
9,3,tting using two sibling 12B models from the Gemma-3 family: google/gemma-3-12b-it
9,3, 12B models from the Gemma-3 family: google/gemma-3-12b-it (the English-centric r
9,12,2B models from the Gemma-3 family: google/gemma-3-12b-it (the English-centric refe
9,12,it (the English-centric reference) and cjvt/GaMS3-12B-Instruct (a Slovene continua
9,1,. The study proceeds in two iterations. Iteration 1 runs matched Heretic ablitera
9,2,he shared bilingual evaluation dataset. Iteration 2 uses that dataset to measure 
15,1,## Iteration 1
17,1,### Experiment 1: Matched Heretic runs [ARTIFA
21,116,**Setup.** Both models were searched over 116 complete trials (seed 2026092
21,20260923,dels were searched over 116 complete trials (seed 20260923) using Heretic (SHA 3521f864)
21,3521,omplete trials (seed 20260923) using Heretic (SHA 3521f864) with the default configu
21,3,"ze_direction=true, row_normalization='full', rank-3 LoRA. The English keyword ref"
21,100,-3 LoRA. The English keyword refusal rate (out of 100 harmful prompts) and mean KL 
21,10,rozen protocol: minimise KL subject to refusals ≤ 10; if no trial met this primary
21,1.0, fall back to minimising refusals subject to KL ≤ 1.0. Both models fell back to the
23,88,**Selected trials.** GaMS3 trial 88 reached 16/100 English refusa
23,16,**Selected trials.** GaMS3 trial 88 reached 16/100 English refusals at KL 0.
23,100,**Selected trials.** GaMS3 trial 88 reached 16/100 English refusals at KL 0.175.
23,0.175,S3 trial 88 reached 16/100 English refusals at KL 0.175. Gemma trial 96 reached 69/10
23,96, 16/100 English refusals at KL 0.175. Gemma trial 96 reached 69/100 English refusa
23,69,lish refusals at KL 0.175. Gemma trial 96 reached 69/100 English refusals at KL 0.
23,100,h refusals at KL 0.175. Gemma trial 96 reached 69/100 English refusals at KL 0.024.
23,0.024,ma trial 96 reached 69/100 English refusals at KL 0.024. The Gemma model refused far 
23,50,"eration parameters, and no Gemma trial achieved ≤ 50/100 refusals. The ratio of me"
23,100,"tion parameters, and no Gemma trial achieved ≤ 50/100 refusals. The ratio of median"
23,60, median refusal counts (Gemma / GaMS3) across the 60 shared startup edits was 13.4
23,13.4,"a / GaMS3) across the 60 shared startup edits was 13.4× [6.9, 30.4]. In all 60 start"
23,6.9,"S3) across the 60 shared startup edits was 13.4× [6.9, 30.4]. In all 60 startup edi"
23,30.4,"cross the 60 shared startup edits was 13.4× [6.9, 30.4]. In all 60 startup edits, Ge"
23,60,"hared startup edits was 13.4× [6.9, 30.4]. In all 60 startup edits, Gemma refused "
23,60," edits, Gemma refused at least as often as GaMS3 (60/60, median paired difference "
23,60,"its, Gemma refused at least as often as GaMS3 (60/60, median paired difference +25"
23,+25,"s often as GaMS3 (60/60, median paired difference +25)."
25,100,e table below shows keyword refusal rates (out of 100 harmful prompts) and FLORES+ 
29,98,| GaMS3 | original | 98 | 97 | 0.000 | 3.332 | 2.570 
29,97,| GaMS3 | original | 98 | 97 | 0.000 | 3.332 | 2.570 |
29,0.000,| GaMS3 | original | 98 | 97 | 0.000 | 3.332 | 2.570 |
29,3.332,| GaMS3 | original | 98 | 97 | 0.000 | 3.332 | 2.570 |
29,2.570,| GaMS3 | original | 98 | 97 | 0.000 | 3.332 | 2.570 |
30,88,| GaMS3 | own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 
30,16,| GaMS3 | own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 2.566 
30,10,| GaMS3 | own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 2.566 |
30,0.175,| GaMS3 | own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 2.566 |
30,3.334,| GaMS3 | own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 2.566 |
30,2.566,| own edit (trial 88) | 16 | 10 | 0.175 | 3.334 | 2.566 |
31,96,| GaMS3 | swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 
31,25,| GaMS3 | swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 2.576 
31,25,| GaMS3 | swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 2.576 |
31,0.046,| GaMS3 | swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 2.576 |
31,3.336,GaMS3 | swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 2.576 |
31,2.576,swap (Gemma trial 96) | 25 | 25 | 0.046 | 3.336 | 2.576 |
32,100,| Gemma | original | 100 | 100 | 0.000 | 3.930 | 3.427
32,100,| Gemma | original | 100 | 100 | 0.000 | 3.930 | 3.427 |
32,0.000,| Gemma | original | 100 | 100 | 0.000 | 3.930 | 3.427 |
32,3.930,| Gemma | original | 100 | 100 | 0.000 | 3.930 | 3.427 |
32,3.427,| Gemma | original | 100 | 100 | 0.000 | 3.930 | 3.427 |
33,96,| Gemma | own edit (trial 96) | 69 | 85 | 0.024 | 3.929 | 
33,69,| Gemma | own edit (trial 96) | 69 | 85 | 0.024 | 3.929 | 3.432 
33,85,| Gemma | own edit (trial 96) | 69 | 85 | 0.024 | 3.929 | 3.432 |
33,0.024,| Gemma | own edit (trial 96) | 69 | 85 | 0.024 | 3.929 | 3.432 |
33,3.929,| Gemma | own edit (trial 96) | 69 | 85 | 0.024 | 3.929 | 3.432 |
33,3.432,| own edit (trial 96) | 69 | 85 | 0.024 | 3.929 | 3.432 |
34,88,| Gemma | swap (GaMS3 trial 88) | 91 | 95 | 0.293 | 3.944 | 
34,91,| Gemma | swap (GaMS3 trial 88) | 91 | 95 | 0.293 | 3.944 | 3.455 
34,95,| Gemma | swap (GaMS3 trial 88) | 91 | 95 | 0.293 | 3.944 | 3.455 |
34,0.293,| Gemma | swap (GaMS3 trial 88) | 91 | 95 | 0.293 | 3.944 | 3.455 |
34,3.944,Gemma | swap (GaMS3 trial 88) | 91 | 95 | 0.293 | 3.944 | 3.455 |
34,3.455,swap (GaMS3 trial 88) | 91 | 95 | 0.293 | 3.944 | 3.455 |
36,98,GaMS3's own edit reduced English refusals from 98 to 16 and Slovene refusals fr
36,16,S3's own edit reduced English refusals from 98 to 16 and Slovene refusals from 97 
36,97, refusals from 98 to 16 and Slovene refusals from 97 to 10. Slovene refusal droppe
36,10,als from 98 to 16 and Slovene refusals from 97 to 10. Slovene refusal dropped even
36,0.01,"nly on English, and FLORES NLL changed by at most 0.01. For Gemma, the edit reduced "
36,100,"For Gemma, the edit reduced English refusals from 100 to 69 but Slovene refusals on"
36,69,"ma, the edit reduced English refusals from 100 to 69 but Slovene refusals only fro"
36,100,als from 100 to 69 but Slovene refusals only from 100 to 85. Swapping edits between
36,85,m 100 to 69 but Slovene refusals only from 100 to 85. Swapping edits between model
36,25,"odel's behaviour: GaMS3 under Gemma's edit showed 25/25 (EN/SL) refusals, and Gemm"
36,25,"l's behaviour: GaMS3 under Gemma's edit showed 25/25 (EN/SL) refusals, and Gemma u"
36,91,"SL) refusals, and Gemma under GaMS3's edit showed 91/95, both far from the origina"
36,95," refusals, and Gemma under GaMS3's edit showed 91/95, both far from the original m"
38,24,"**Direction geometry.** Across layers 24--47, the mean cosine between "
38,-47,"**Direction geometry.** Across layers 24--47, the mean cosine between the "
38,0.57, two models' diff-in-means refusal directions was 0.57; across all layers it was 0.6
38,0.63,sal directions was 0.57; across all layers it was 0.63. The cosine between their har
38,0.98,osine between their harmless-token directions was 0.98. Random directions gave a mea
38,0.014, was 0.98. Random directions gave a mean |cos| of 0.014. The refusal directions are m
40,60,"n of refusal counts between the two models across 60 paired edits was 0.78 [0.63, "
40,0.78,"between the two models across 60 paired edits was 0.78 [0.63, 0.88]. KL divergence c"
40,0.63,"n the two models across 60 paired edits was 0.78 [0.63, 0.88]. KL divergence correla"
40,0.88,"two models across 60 paired edits was 0.78 [0.63, 0.88]. KL divergence correlated at"
40,0.97,"as 0.78 [0.63, 0.88]. KL divergence correlated at 0.97. However, the incremental var"
42,60,**Sanity checks.** All 60 startup edits used identical 
42,0.01,ameter draws (verified). FLORES NLL shifts were ≤ 0.01 for both models. Slovene mark
42,0.75,dation on the selected GaMS3 edit showed accuracy 0.75 and kappa 0.48 (fair agreemen
42,0.48,elected GaMS3 edit showed accuracy 0.75 and kappa 0.48 (fair agreement between keywo
50,48,"**Result.** The dataset contains 48,696 rows across 10 blocks (S1"
50,696,"**Result.** The dataset contains 48,696 rows across 10 blocks (S1--S7"
50,10,"Result.** The dataset contains 48,696 rows across 10 blocks (S1--S7 families): S1 "
50,2000," families): S1 (Heretic direction/KL calibration, 2000 rows), S2 (semantic harmful/h"
50,1664," 2000 rows), S2 (semantic harmful/harmless pairs, 1664), S3 screen prompts (540 prom"
50,540,"harmful/harmless pairs, 1664), S3 screen prompts (540 prompts + 640 utility items),"
50,640,"ss pairs, 1664), S3 screen prompts (540 prompts + 640 utility items), S4 (StrongRej"
50,1028," items), S4 (StrongReject harmful/harmless twins, 1028), S5 (RefusEU [3], 2800), S5X"
50,3,"eject harmful/harmless twins, 1028), S5 (RefusEU [3], 2800), S5X (RefusEU cross-t"
50,2800,"t harmful/harmless twins, 1028), S5 (RefusEU [3], 2800), S5X (RefusEU cross-translat"
50,1400,"usEU [3], 2800), S5X (RefusEU cross-translations, 1400), S6 (XSTest over-refusal, 90"
50,900,"oss-translations, 1400), S6 (XSTest over-refusal, 900), S7 (Slovenian LLM eval task"
50,35,"n LLM eval tasks including ARC, BoolQ, HellaSwag, 35,700; FLORES+ devtest, 2024). "
50,700,"LM eval tasks including ARC, BoolQ, HellaSwag, 35,700; FLORES+ devtest, 2024). Prot"
50,2024,"g ARC, BoolQ, HellaSwag, 35,700; FLORES+ devtest, 2024). Protocol hash: dc33bde4."
52,2.5,n.** Slovene translations were produced by Gemini-2.5-flash (temperature 0) as the 
52,0,"ns were produced by Gemini-2.5-flash (temperature 0) as the primary translator, w"
52,200,"mperature 0) as the primary translator, with NLLB-200-distilled-1.3B as fallback fo"
52,1.3,"s the primary translator, with NLLB-200-distilled-1.3B as fallback for 8 rows where"
52,8,"tor, with NLLB-200-distilled-1.3B as fallback for 8 rows where Gemini refused. Me"
52,81.25,re Gemini refused. Mean back-translation chrF was 81.25; 3 rows fell below chrF 40. M
52,3,ni refused. Mean back-translation chrF was 81.25; 3 rows fell below chrF 40. Mean
52,40,ranslation chrF was 81.25; 3 rows fell below chrF 40. Mean LaBSE cross-lingual sim
52,0.856, chrF 40. Mean LaBSE cross-lingual similarity was 0.856. Quality control was automate
54,1,ts.** Items are assigned to halves A and B by SHA-1 hash of their semantic ID. Th
54,2,antic ID. This split is used throughout iteration 2 for placebo-controlled surrog
58,3,"### Experiment 3: A1 screen, EN vs. SL refusal"
60,2,"d refusal direction transfers to Slovene, using a 2×2 matrix (source language × e"
60,2,"refusal direction transfers to Slovene, using a 2×2 matrix (source language × eva"
62,15,parately for English and Slovene. It then applied 15 ablation conditions per model
62,4.1,"yword markers and an LLM judge. The judge was gpt-4.1 for 1,596 outputs (recovered "
62,1,"rkers and an LLM judge. The judge was gpt-4.1 for 1,596 outputs (recovered from l"
62,596,"ers and an LLM judge. The judge was gpt-4.1 for 1,596 outputs (recovered from logs "
62,14,om logs after an API budget exhaustion) and Qwen3-14B locally for the remainder.
64,-1,"grid was cut to every-second layer and positions {-1, -5} for GPU time constraints"
64,-5," was cut to every-second layer and positions {-1, -5} for GPU time constraints. Tr"
64,22,pts elicited refusal. NLLB served as fallback for 22/1070 translation rows. Winsor
64,1070, elicited refusal. NLLB served as fallback for 22/1070 translation rows. Winsorizati
64,0.995, for 22/1070 translation rows. Winsorization (q = 0.995) was applied to directions be
66,16,t Spearman correlation with judged refusal across 16 conditions) passed for Gemma 
66,0.91," across 16 conditions) passed for Gemma (Spearman 0.91, AUROC 0.96) but failed for G"
66,0.96,"onditions) passed for Gemma (Spearman 0.91, AUROC 0.96) but failed for GaMS3 (Spearm"
66,0.51," 0.91, AUROC 0.96) but failed for GaMS3 (Spearman 0.51, AUROC 0.70). The GaMS3 failu"
