section,artifact,class,text,backing_workspace,linked_registry_claims,backing_exists,label_provenance
abstract,,INTERPRETATION,This study investigates whether English-tuned abliteration of refusal behaviour transfers to Slovene in two sibling 12B Gemma-3 checkpoints.,,,False,
abstract,,INTERPRETATION,"Across four iterations and fifteen experiments, we find that the cross-lingual transfer of weight edits depends on where in the layer stack the edit energy lands, not on how many layers it covers or how much total energy it applies.",,,False,
abstract,,OBSERVATION,"The causal write profile, which measures which layers mediate refusal when edited one at a time, peaks at layer 19 in the English-centric anchor and layer 27 in the Slovene-specialised sibling, and the overlap between the profile and an edit's energy distribution orders refusal outcomes at Spearman above 0.83 in both checkpoints.",,E13.spearman_O_sl;E13.argmax_en;E14.argmax,True,VIA_REGISTRY
abstract,,OBSERVATION,"However, the overlap instrument fails its primary criterion (incremental R-squared over log-energy is only 0.026 in the anchor) and fails on argmax-band prediction in the sibling.",,E13.dR2_O,True,VIA_REGISTRY
abstract,,INTERPRETATION,Two cheap one-forward-pass baselines outperform the expensive causal profile.,,,False,
abstract,,FAILED_HYPOTHESIS,"Separately, Heretic's keyword-based selection objective is structurally blind in the low-refusal region of the anchor model (gradient-blind fraction 47% among candidates with classifier refusal at most 50%), explaining why the anchor search produced an under-optimised edit while the sibling search did not.",,,False,
abstract,,FAILED_HYPOTHESIS,"Fourteen of the study's hypotheses were falsified, and the behavioural dissociation between the two models is bounded by achieved optimisation strength rather than by an inherent property of the model pair.",,,False,
abstract,,UNEXECUTED_PROPOSAL,Native-speaker review remains pending for 640 items across five packets.,,,False,
Framing,,INTERPRETATION,"Abliteration removes refusal behaviour from language models by orthogonalising weight matrices against a ""refusal direction"" extracted from English harmful-vs-harmless contrasts [1].",,,False,
Framing,,INTERPRETATION,The procedure was introduced by Arditi et al.,,,False,
Framing,,INTERPRETATION,"[1] and automated by tools such as Heretic, which uses TPE search over layer, position, direction index, and LoRA rank to find abliteration configurations that minimise an English refusal objective while bounding KL divergence from the original model.",,,False,
Framing,,INTERPRETATION,The question motivating this study is whether that English-centred objective leaves Slovene refusal behaviour uncontrolled.,,,False,
Framing,,INTERPRETATION,"If the English refusal direction is universal across languages, as Wang et al.",,,False,
