model,trial,attn_cov0.10,attn_cov0.25,attn_cov0.50,attn_cov0.75,attn_mass,attn_energy,attn_centroid,attn_partic,attn_A1,attn_A2,mlp_cov0.10,mlp_cov0.25,mlp_cov0.50,mlp_cov0.75,mlp_mass,mlp_energy,mlp_centroid,mlp_partic,mlp_A1,mlp_A2,sum_cov0.10,sum_cov0.25,sum_cov0.50,sum_cov0.75,sum_mass,sum_energy,sum_centroid,sum_partic,sum_A1,sum_A2,mean_cos_in_support
gemma,0,18,18,18,18,20.609793235501822,16628471546.659306,37.5327239754276,17.83623079172396,15.095717978551793,7630949087.160675,8,6,2,0,3.1638385196413066,228217868.34864655,28.4427430927553,6.4442426328471285,1.6334492568705932,65108228.85309533,22,21,19,18,23.77363175514313,17399399993.500534,36.3230126466913,19.857432952977096,16.729167235422388,7907986782.0926895,0.6622533347375282
gemma,1,29,29,29,29,29.458442978304028,14197905765.658258,33.18773280504912,28.860591694635247,29.458442978304028,14197905765.658257,13,7,0,0,3.385039815801351,1072530678.9558713,41.83253506421893,12.606942314100031,3.385039815801351,1072530678.9558713,29,29,29,29,32.84348279410538,22250597926.685677,34.07871626226857,28.49185894902112,32.84348279410538,22250597926.685677,1.0
gemma,2,37,37,37,37,47.74899123994185,25060436895.99324,29.748669670043324,36.665983155701866,47.748991239941844,25060436895.993237,0,0,0,0,0.22071573241732415,567264.7428089989,29.988605275623488,35.90996847736497,0.22071573241732417,567264.7428089989,37,37,37,37,47.96970697235918,25299246991.531532,29.74977364933069,36.66586042914874,47.96970697235916,25299246991.53153,1.0
gemma,3,11,10,7,5,7.122913581431355,6485406855.433252,42.607768961441664,9.6808253176646,1.9292029552881915,421615277.4324138,28,28,0,0,11.540998890468988,2537544104.682658,33.87122489206866,27.94086084588317,5.546047353868321,302441281.9529226,28,28,11,9,18.663912471900346,16177594647.880306,37.20544800848119,21.520575828385038,7.475250309156514,1201460837.1548772,0.48768854206539014
gemma,4,35,35,35,32,33.88752925735045,15254530792.901922,31.13072367278321,34.37149048986517,33.88752925735045,15254530792.901922,11,11,11,1,7.744065637818802,1171220132.071022,31.000146187902413,10.983742712390855,7.744065637818802,1171220132.071022,35,35,35,32,41.63159489516926,19989396055.388924,31.10643441323684,31.46855742447296,41.63159489516926,19989396055.388924,1.0
gemma,5,16,16,16,13,16.54042494429521,5948066904.4981785,33.63321566953142,15.138180131919798,16.54042494429521,5948066904.4981785,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,16,16,16,13,16.54042494429521,5948066904.4981785,33.63321566953142,15.138180131919798,16.54042494429521,5948066904.4981785,1.0
gemma,6,33,33,33,33,36.56096508582683,17609766750.10106,31.49376334071682,32.68908552778984,17.94846509936435,3937368173.419463,46,46,24,0,23.036267878768484,3429169599.1225634,24.942004588391757,45.76726695721812,8.416458717570299,764486378.4726351,46,46,33,33,59.597232964595314,36566314662.12997,28.961295603745075,39.2846477576645,26.364923816934642,8168119901.769765,0.347910455226209
gemma,7,37,37,37,28,34.757925592595825,10219913907.534046,29.13904659524229,35.21541009826653,34.757925592595825,10219913907.534044,32,32,32,24,29.214516019012137,9985537186.43243,31.461753390061865,30.762127502991852,29.214516019012137,9985537186.43243,37,37,37,32,63.97244161160796,40384498110.75232,30.199765135214545,33.66470784825742,63.97244161160796,40384498110.75232,1.0
gemma,8,3,3,3,3,2.8477877141053507,4319122433.790877,43.9935485844001,2.9885198570909814,2.8477877141053507,4319122433.790877,14,14,11,7,10.33698849914565,9137440474.401714,41.57095830686435,13.00324924396833,10.33698849914565,9137440474.401714,14,14,11,7,13.184776213251002,22350224529.94848,42.094215032431194,10.559783090585986,13.184776213251002,22350224529.94848,1.0
gemma,9,8,6,4,2,4.13646783402878,699266172.6321737,32.747831078828135,6.348397412908146,4.13646783402878,699266172.6321735,20,18,0,0,6.667871882678147,1642441781.9246593,37.990545397207455,19.389730037200618,6.667871882678147,1642441781.9246588,20,19,7,5,10.804339716706927,3016055000.3305173,35.983359422904535,15.492492618038222,10.804339716706927,3016055000.3305173,1.0
gemma,10,14,14,14,10,12.284799915396674,5414559519.334561,36.47014185816702,13.560826512423912,12.284799915396672,5414559519.334561,18,0,0,0,2.68475828594996,233629630.84924313,36.97598808733779,22.496852517849327,2.68475828594996,233629630.84924313,18,14,14,13,14.969558201346633,7195388398.048111,36.56086429879728,15.581174791338562,14.969558201346633,7195388398.048111,1.0
gemma,11,11,11,9,4,7.392146563895244,1275890443.281952,32.068617395835666,10.484785755934384,7.392146563895244,1275890443.281952,5,5,4,3,4.164440362108495,2507925861.2310157,39.15080667764008,4.566287551450756,4.164440362108495,2507925861.231015,15,15,14,8,11.55658692600374,3978920382.8221874,34.620699172754996,14.136810670294404,11.556586926003737,3978920382.8221865,1.0
gemma,12,34,34,34,34,28.220110104818083,9592395655.508625,30.52546185257401,33.99973450543539,28.220110104818083,9592395655.508625,38,38,32,13,25.345752453645666,6991104032.856672,30.035828224502314,36.259383229856546,25.345752453645666,6991104032.856672,38,38,34,34,53.56586255846375,32844116191.215942,30.29378197032548,35.6133596883136,53.56586255846375,32844116191.215942,1.0
gemma,13,28,28,25,14,20.16036033126549,9867013323.623753,35.11689982693147,26.79250459829948,20.160360331265487,9867013323.623753,44,43,35,18,29.648681766792134,6680723641.988294,27.721041111002606,39.817602138625794,29.648681766792134,6680723641.988293,44,43,35,28,49.80904209805763,32138292161.651127,30.714537279403537,36.03658500706677,49.809042098057624,32138292161.651127,1.0
gemma,14,36,36,36,24,27.758228110828124,8956281065.480335,30.038014923881523,35.876509400768605,12.765622477967778,5231363917.444559,32,32,28,22,29.482655700293137,19460022402.850204,34.373851214727694,28.843787679641785,17.411281129344125,12075346192.306906,36,36,36,32,57.240883811121265,54659787330.506714,32.271243344282276,33.30949198072297,30.176903607311907,33170284513.87591,0.442451579661091
gemma,15,5,5,5,5,4.139570186926852,696482551.8197203,31.004745856721474,4.987550037998534,4.139570186926852,696482551.8197203,36,35,25,15,24.136531453787324,5498239776.512257,30.25734101476721,31.625662868446536,24.136531453787324,5498239776.512256,36,35,25,15,28.276101640714174,7937623655.318492,30.36675973311217,26.23733354280097,28.276101640714174,7937623655.318491,1.0
gemma,16,20,20,17,12,15.200938518191002,10511029405.892387,38.822226052780444,18.582853807688448,15.200938518191,10511029405.892387,13,13,13,13,17.508590502916466,9272136864.115143,34.966432849533255,12.96241186740508,17.508590502916462,9272136864.115143,20,20,19,19,32.70952902110747,31171395719.212513,36.75831665756966,17.446296146848592,32.709529021107464,31171395719.21251,1.0
gemma,17,25,25,25,25,30.946652100106686,22749127735.740715,35.41082922643518,24.88900302166441,30.94665210010669,22749127735.740715,39,39,32,18,28.36299009413971,6562674938.760307,28.900602966392025,35.718898757526674,28.36299009413971,6562674938.760307,39,39,34,27,59.30964219424639,52695208133.49875,32.29751617828928,31.564248802393077,59.30964219424639,52695208133.49874,1.0
gemma,18,6,6,4,4,4.715877297360818,1295658653.7130713,33.52379690790359,4.9252887710812985,4.715877297360818,1295658653.7130713,30,27,21,12,19.126483644824532,8181776684.658665,34.969894236524674,26.293241305919967,19.126483644824532,8181776684.658663,30,27,21,13,23.84236094218535,11736545008.557224,34.6838647791922,21.664206004275872,23.84236094218535,11736545008.557224,1.0
gemma,19,14,14,12,7,10.304258883398958,5559252943.153551,38.57653651927352,13.179557094590251,10.304258883398957,5559252943.15355,34,30,0,0,11.275030585519573,1715648496.8460755,31.589296667361992,33.0911083835526,11.275030585519572,1715648496.8460755,34,30,14,14,21.579289468918528,12667695898.155457,34.92575167058166,23.629393968335197,21.579289468918528,12667695898.155457,1.0
gemma,20,18,18,15,11,14.500160871332039,12014513589.849716,39.84865102775796,16.64026656298986,14.500160871332035,12014513589.849716,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,18,18,15,11,14.500160871332039,12014513589.849716,39.84865102775796,16.64026656298986,14.500160871332035,12014513589.849716,1.0
gemma,21,29,29,29,29,41.13287118559451,27768403469.442844,33.02629651763393,28.999206365464445,22.562109196345258,16228597322.153576,0,0,0,0,1.6445082568927545,72071859.42500168,35.65067011776016,25.828134781632347,1.066411893415204,46079690.971489616,29,29,29,29,42.77737944248727,30638694285.53488,33.127186383044716,29.01799615081237,23.62852108976046,17995090369.614555,0.5015197301662006
gemma,22,17,17,17,17,17.623446251571117,8028479366.68085,35.05059911581541,16.649524217048725,13.195257325833282,4819688739.799098,5,3,1,0,1.9129710686778423,882458384.6512008,41.9974807752825,4.400596864254918,1.1916887832164806,334995875.73838264,18,17,17,17,19.53641732024896,11896828114.94284,35.73082535250187,16.960082580020515,14.386946109049763,6346801127.238534,0.715190985475956
gemma,23,6,6,6,6,7.319176862450786,11959202466.157845,44.54673983578674,5.995165941186981,7.319176862450785,11959202466.157845,13,13,13,13,11.345230695230653,7742732290.474699,39.00611431921107,12.963513707368909,11.34523069523065,7742732290.474699,15,15,15,15,18.664407557681436,31549081568.468483,41.178849669052674,12.92091715340634,18.664407557681436,31549081568.46848,1.0
gemma,24,12,12,11,6,9.08446999754486,5689319416.311945,39.552783577815966,11.384594593455589,2.9816294821549123,530120827.36669457,41,6,0,0,8.005511358281197,440008496.6202149,27.169587799204358,40.09680488321052,3.405267439786444,79180795.14022577,41,18,12,10,17.089981355826055,8682860544.124712,33.75208594137883,23.88445041621828,6.386896921941356,852440552.2592745,0.3613355948760044
gemma,25,25,24,18,12,18.063616071583063,7001088231.359077,35.18346725049671,21.538246291961396,18.06361607158306,7001088231.359076,2,2,2,2,2.299238388028414,560367021.7522362,31.476303573236223,1.995517902031136,2.299238388028414,560367021.7522362,25,24,18,12,20.362854459611476,8459765474.912606,34.76487893055523,18.82097454897257,20.362854459611476,8459765474.912604,1.0
gemma,26,17,17,17,17,24.02591422646798,26810774139.80596,39.15509295745048,16.982641296343786,24.02591422646798,26810774139.80596,33,24,0,0,9.807323337810004,1504317938.2784715,32.622404451327604,31.266292494126102,9.807323337810004,1504317938.2784712,33,24,17,17,33.83323756427798,40576475908.177704,37.26144655949574,21.29675604822205,33.83323756427798,40576475908.1777,1.0
gemma,27,4,4,4,4,3.5059612883142037,5325144766.188931,44.50236933703376,3.999900354792502,3.5059612883142037,5325144766.188931,13,13,11,7,9.87926672955382,1906083898.253698,31.8513773837021,12.120708822912924,9.87926672955382,1906083898.253698,17,17,15,11,13.385228017868023,7231228664.442629,35.16502194679411,16.10415980721613,13.385228017868023,7231228664.442629,1.0
gemma,28,26,26,26,19,23.28926363955655,5664931894.815557,30.480986254533896,24.94098459289784,7.999194119697212,257236699.2828516,19,19,12,0,10.387525195749381,5437128379.205835,39.27946514637567,17.836652716040167,1.3988691307487398,63025608.83806645,30,30,30,23,33.676788835305935,18037804989.18304,33.19485608399518,27.401331681784082,9.398063250445954,457850889.2692346,0.32325490024411896
gemma,29,3,3,3,2,2.819046591919809,5441870561.420888,44.88392424799285,2.7819211366899776,2.819046591919809,5441870561.420888,34,32,28,22,29.141628585857468,14130449332.22194,33.244078903298565,29.402803132569765,29.141628585857468,14130449332.22194,34,32,28,22,31.960675177777276,28694534582.83208,34.270755159883095,27.944401110127775,31.960675177777276,28694534582.83208,1.0
gemma,30,20,20,20,20,22.52496457383488,18026371141.38508,37.7560599424469,19.95153132884298,22.524964573834875,18026371141.38508,38,35,19,0,17.569757144470596,4387285911.3802395,31.277665065977693,35.17340986330313,17.569757144470593,4387285911.3802395,38,35,20,20,40.09472171830548,39973116234.664215,34.917186899126094,26.83283888484084,40.09472171830548,39973116234.664215,1.0
gemma,31,18,16,12,9,11.839694183558994,9221736001.931143,40.38051298132924,15.504521231888102,11.839694183558994,9221736001.931143,21,18,7,0,8.785812982560428,3026963666.9761457,38.17256611069653,19.35581107719975,8.785812982560426,3026963666.9761457,21,19,17,14,20.62550716611942,22524689468.98268,39.43999752517242,17.443342122218798,20.62550716611942,22524689468.98268,1.0
gemma,32,14,14,14,14,17.880552584083155,20407734857.02012,40.59677697773526,13.991799986628868,9.805841145785354,4932440122.23658,16,14,10,6,10.335339544427068,4514226735.264772,37.5192205553572,13.027706275933651,6.928404002255615,1759768600.8628297,18,17,15,14,28.215892128510227,39739496331.86656,39.46948352029147,14.91917715246589,16.73424514804097,11585827687.438545,0.6321053313126503
gemma,33,10,10,10,7,9.763654374682455,12811339027.697678,43.23671185894155,9.352464233544925,9.763654374682453,12811339027.697678,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,10,10,10,7,9.763654374682455,12811339027.697678,43.23671185894155,9.352464233544925,9.763654374682453,12811339027.697678,1.0
gemma,34,9,9,7,5,6.4528747182337,3493848088.419887,38.991659989677665,7.7413064037710955,4.187030203223898,1381853515.242334,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,9,9,7,5,6.4528747182337,3493848088.419887,38.991659989677665,7.7413064037710955,4.187030203223898,1381853515.242334,0.652461776019328
gemma,35,38,35,31,24,33.16484952244789,12454043844.685753,30.99773217201218,32.49334613024131,33.16484952244789,12454043844.685753,2,0,0,0,0.3367045843092291,8885981.409404509,31.953381351119212,2.8911650535706688,0.3367045843092291,8885981.409404509,38,35,31,24,33.50155410675712,12680876836.203651,31.007336844636363,32.21618879397227,33.50155410675712,12680876836.203651,1.0
gemma,36,19,19,19,19,16.577582214652086,10146031729.866077,38.03230599088448,18.999195910830277,11.6521793567842,6313884009.882252,39,39,39,39,42.34429606647195,17572495521.747246,28.64501456151108,38.78926850580821,17.76498072299725,10484815694.619335,39,39,39,39,58.92187828112403,53826850815.129486,31.28611494702255,35.159301849352765,29.417160079781453,33028314570.69389,0.401226130364007
gemma,37,3,3,3,3,2.429235676636725,664328810.1425984,35.00040004945548,2.993530340492542,0.8930727925334356,89353855.35745849,25,25,22,15,21.254730119523494,11789870005.632385,36.16136897535715,22.41645524552593,8.631488178284261,1087690296.6444738,25,25,22,15,23.68396579616022,14371914393.529013,36.0422897992369,20.187718591261042,9.524560970817696,1434037536.715388,0.4568844568173304
gemma,38,18,17,14,8,12.912707583356562,8943776091.706402,39.580526885064224,15.9980279348159,5.4517480623435475,1170058502.743595,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,18,17,14,8,12.912707583356562,8943776091.706402,39.580526885064224,15.9980279348159,5.4517480623435475,1170058502.743595,0.46806347951139693
gemma,39,22,22,21,5,14.482310395065532,3285142465.938282,32.59749353020265,21.557104146492733,14.48231039506553,3285142465.938282,10,0,0,0,2.4397122287433533,641061501.1228025,42.50258293919363,9.999840580245335,2.4397122287433533,641061501.1228025,26,22,21,11,16.922022623808886,5345290900.188774,34.02554786478977,23.726443964859126,16.922022623808886,5345290900.188773,1.0
gemma,40,36,33,23,14,22.969214677017856,5239095170.582305,30.645187808307643,30.187274475599303,12.766819196464917,2234588904.1110635,21,21,21,21,24.102033925046364,20716321242.31754,37.64577142068763,20.73803750896604,14.674303004632108,5302849985.417908,36,33,28,23,47.07124860206422,44496503488.41649,34.22971782889662,27.51920748673153,27.441122201097023,13773778806.35915,0.4398527588884245
gemma,41,38,38,38,28,30.146294502001997,9508253187.798857,29.200626376703458,37.7593612796633,30.146294502001997,9508253187.798855,29,15,0,0,7.454853309964081,1667885145.9343624,35.932743992963005,25.805973120674153,7.454853309964081,1667885145.9343624,38,38,38,29,37.60114781196608,18986822242.393845,30.535344921616296,36.637948133602926,37.60114781196608,18986822242.393845,1.0
gemma,42,18,18,18,14,15.169618358293071,10605211396.449066,39.06630347336992,17.7880134487746,15.169618358293071,10605211396.449066,20,18,12,8,12.176721984325994,3870032200.862966,35.517869267977325,16.550106084751118,12.176721984325994,3870032200.862966,22,21,18,18,27.346340342619065,24123551608.312603,37.48626401443733,18.942558862379162,27.34634034261906,24123551608.312603,1.0
gemma,43,37,37,33,25,32.52593841210004,11217081579.83305,30.427177295111765,34.11947994252413,32.52593841210004,11217081579.83305,0,0,0,0,1.5488027352009688,24256957.166658375,29.388797110342153,36.73705044934256,1.5488027352009688,24256957.16665837,37,37,34,27,34.07474114730101,12274529159.040474,30.3799796931286,34.28876881863924,34.07474114730101,12274529159.040474,1.0
gemma,44,10,10,8,3,6.630770037204465,5462249941.026781,43.073242144486095,9.611663911925639,6.630770037204465,5462249941.026781,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,10,10,8,3,6.630770037204465,5462249941.026781,43.073242144486095,9.611663911925639,6.630770037204465,5462249941.026781,1.0
