model,condition,lang,mean,size
gams3,C0,en,0.9024390243902439,41
gams3,C0,sl,0.926829268292683,41
gams3,C1,en,0.4634146341463415,41
gams3,C1,sl,0.34146341463414637,41
gams3,C2,en,0.07317073170731707,41
gams3,C2,sl,0.0975609756097561,41
gams3,C3,en,0.3902439024390244,41
gams3,C3,sl,0.24390243902439024,41
gams3,C4,en,0.5365853658536586,41
gams3,C4,sl,0.1951219512195122,41
gams3,C6,en,0.0975609756097561,41
gams3,C6,sl,0.36585365853658536,41
gams3,C6r,en,0.4878048780487805,41
gams3,C6r,sl,0.07317073170731707,41
gemma,C0,en,0.8292682926829268,41
gemma,C0,sl,1.0,41
gemma,C1,en,0.07317073170731707,41
gemma,C1,sl,0.8536585365853658,41
gemma,C2,en,0.2926829268292683,41
gemma,C2,sl,0.926829268292683,41
gemma,C3,en,0.1951219512195122,41
gemma,C3,sl,0.8536585365853658,41
gemma,C4,en,0.8780487804878049,41
gemma,C4,sl,0.926829268292683,41
gemma,C6,en,0.0,41
gemma,C6,sl,0.0975609756097561,41
gemma,C6r,en,0.5853658536585366,41
gemma,C6r,sl,0.8292682926829268,41
