line,artifact,cited_path,resolves,resolved_to,exists_elsewhere
168,art_a4VkEvYRquBO,results/t1_harmful.json,False,,
183,art_a4VkEvYRquBO,results/t1_harmful.json,False,,
263,art_a4VkEvYRquBO,results/flip_analysis.json,True,iter_4/gen_art/gen_art_evaluation_2/results/flip_analysis.json,
351,art_KFZCxJcrr84K,results/gap_table.json,False,,
489,art_ex4hbgThhJaL,results/dev_index.json,False,,
502,art_ex4hbgThhJaL,results/matched_energy_groups.json,False,,
535,art_xLy2vVlI7OEL,results/dev_index.json,False,,
537,art_xLy2vVlI7OEL,results/panel_summary.json,False,,
586,art_0XmNBGkzsJc_,results/s5x_headline.json,False,,
612,art_0XmNBGkzsJc_,results/miscalibration_table.csv,True,iter_3/gen_art/gen_art_experiment_11/results/miscalibration_table.csv,
622,art_kfCCWf7o8eJ9,results/dev_indices.json,False,,
696,art_NpZ_nW6qgSKD,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,
700,art_NpZ_nW6qgSKD,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,
712,art_NpZ_nW6qgSKD,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,
725,art_NpZ_nW6qgSKD,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,
727,art_NpZ_nW6qgSKD,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_13/results/report_tables.md,
735,art_bxpIbe7-nSvR,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,
744,art_bxpIbe7-nSvR,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,
748,art_bxpIbe7-nSvR,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,
750,art_bxpIbe7-nSvR,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,
755,art_bxpIbe7-nSvR,results/report_tables.md,True,iter_4/gen_art/gen_art_experiment_14/results/report_tables.md,
767,art_F46S3uP80BUa,results/analysis.json,True,iter_4/gen_art/gen_art_experiment_15/results/analysis.json,
769,art_F46S3uP80BUa,results/analysis.json,True,iter_4/gen_art/gen_art_experiment_15/results/analysis.json,
788,art_F46S3uP80BUa,results/reselection_table.csv,True,iter_4/gen_art/gen_art_experiment_15/results/reselection_table.csv,
800,art_F46S3uP80BUa,results/analysis.json,True,iter_4/gen_art/gen_art_experiment_15/results/analysis.json,
808,art_hBuck7q0dnxG,results/judge_calibration.json,True,iter_4/gen_art/gen_art_evaluation_2/results/judge_calibration.json,
810,art_hBuck7q0dnxG,results/flip_analysis.json,True,iter_4/gen_art/gen_art_evaluation_2/results/flip_analysis.json,
821,art_hBuck7q0dnxG,results/curve_fits.json,True,iter_4/gen_art/gen_art_evaluation_2/results/curve_fits.json,
823,art_hBuck7q0dnxG,results/asr_summary.json,True,iter_4/gen_art/gen_art_evaluation_2/results/asr_summary.json,
825,art_hBuck7q0dnxG,results/corrected_numbers_iter4.json,True,iter_4/gen_art/gen_art_evaluation_2/results/corrected_numbers_iter4.json,
835,art_hBuck7q0dnxG,results/quant_confound.json,True,iter_4/gen_art/gen_art_evaluation_2/results/quant_confound.json,
842,art_hBuck7q0dnxG,results/pending_human_review_iter4.md,True,iter_4/gen_art/gen_art_evaluation_2/results/pending_human_review_iter4.md,
848,art_sZ5w0yoY9o6L,results/positioning_positive.md,True,iter_4/gen_art/gen_art_research_1/results/positioning_positive.md,
850,art_sZ5w0yoY9o6L,results/positioning_negative.md,True,iter_4/gen_art/gen_art_research_1/results/positioning_negative.md,
885,art_sZ5w0yoY9o6L,results/pending_human_review_iter4.md,True,iter_4/gen_art/gen_art_evaluation_2/results/pending_human_review_iter4.md,
