claim_id,section,draft_value,recomputed_value,ci,verdict,source_path,tolerance_rule,note
E9.n_cells,Exp9 setup,122,122,,match,iter_3/.../experiment_9/results/per_item.parquet,count,
E9.n_generations,Exp9 setup,27784,27784,,match,iter_3/.../experiment_9/results/per_item.parquet,count,
E9.judge_kappa_within_edited,Exp9 setup,0.87,0.8641246491822316,,match,experiment_9/results/judge_api.jsonl + judge_local.jsonl,rate,n=576 key-resolvable pairs (the artifact certified on 600) gpt-4.1 vs Qwen3-14B refused-vs-not within edited cells; artifact reports 0.866 which the draft rounds to 0.87; accepted within 0.005
E9.band13_24_spearman,Exp9 exploratory,-0.942,-0.9416965821485117,,match,experiment_9/results/per_item.parquet + cells/W_*.json (layers),rate,"fraction of layers 13-24 covered vs lowest SL harmful refusal over c in {0.25,0.5,1,1.5}, 10 sets, S3 half-B"
E9.sets_covering_all_13_24,Exp9 exploratory,"ALL48,B2,C24,C36,K96","ALL48,B2,C24,C36,K96",,match,experiment_9/results/cells/W_*.json,set,"coverage of 13-24 per set: {""ALL48"": 1.0, ""B1"": 0.0, ""B2"": 1.0, ""B3"": 0.0, ""B4"": 0.0, ""C24"": 1.0, ""C36"": 1.0, ""K96"": 1.0, ""S2"": 0.5, ""S4"": 0.25}"
E9.sets_missing_13_24,Exp9 exploratory,"B1,B3,B4,S4","B1,B3,B4",,misdescribed,experiment_9/results/cells/W_*.json,set,"partial-coverage sets omitted/misfiled by the draft: {'S2': 0.5, 'S4': 0.25}; their min SL refusal: {'S2': 0.732, 'S4': 0.927}"
E9.full_cov_max_minSL,Exp9 exploratory,0.2,0.17073170731707318,,match,experiment_9/results/per_item.parquet,bound,draft: all full-coverage sets reach SL < 0.20
E9.missing_min_minSL,Exp9 exploratory,0.93,0.926829268292683,,match,experiment_9/results/per_item.parquet,bound,"draft: the 'missing' sets never reach SL < 0.93; per set {""S4"": 0.927, ""B3"": 0.951, ""B1"": 1.0, ""B4"": 1.0}"
E9.G1.E,Exp9 P2,16.7,16.733893483877182,,match,experiment_9/results/cells.csv,rate,
E9.G1.SL_narrow,Exp9 P2,0.98,0.975609756097561,,match,experiment_9/results/per_item.parquet,rate,"W_B3_c1, S3 half-B, n=41"
E9.G1.SL_broad,Exp9 P2,1.0,1.0,,match,experiment_9/results/per_item.parquet,rate,"W_S4_c0.943_G1, n=41"
E9.G1.SL_contrast,Exp9 P2,-0.02,-0.024390243902439046,,match,experiment_9/results/per_item.parquet,rate,narrow minus broad
E9.G2.E,Exp9 P2,19.2,19.211296945810318,,match,experiment_9/results/cells.csv,rate,
E9.G2.SL_narrow,Exp9 P2,0.63,0.6341463414634146,,match,experiment_9/results/per_item.parquet,rate,"W_B2_c1, S3 half-B, n=41"
