model,trial,phase,keyword_count,kl,direction_scope,direction_index,params_json,abl_params_json
gams,0,startup,77,0.00622361246496439,global,35.28625933815789,"{""attn.o_proj.max_weight"": 1.335652908640471, ""attn.o_proj.max_weight_position"": 37.69651585109827, ""attn.o_proj.min_weight"": 0.7109502662442033, ""attn.o_proj.min_weight_distance"": 9.111903269991311, ""direction_index"": 35.28625933815789, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 0.7424929048243758, ""mlp.down_proj.max_weight_position"": 28.434746118394052, ""mlp.down_proj.min_weight"": 0.07349923770273847, ""mlp.down_proj.min_weight_distance"": 3.964808604651576}","{""attn.o_proj"": {""max_weight"": 1.335652908640471, ""max_weight_position"": 37.69651585109827, ""min_weight"": 0.9495827910077874, ""min_weight_distance"": 9.111903269991311}, ""mlp.down_proj"": {""max_weight"": 0.7424929048243758, ""max_weight_position"": 28.434746118394052, ""min_weight"": 0.054572662504283574, ""min_weight_distance"": 3.964808604651576}}"
gams,1,startup,34,0.012432653456926346,per layer,,"{""attn.o_proj.max_weight"": 1.1354815621704315, ""attn.o_proj.max_weight_position"": 34.62115535320629, ""attn.o_proj.min_weight"": 0.764242165311383, ""attn.o_proj.min_weight_distance"": 16.41921946254915, ""direction_index"": 28.453405052387367, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.3653741755405121, ""mlp.down_proj.max_weight_position"": 45.03475834526613, ""mlp.down_proj.min_weight"": 0.09070927458977673, ""mlp.down_proj.min_weight_distance"": 12.902326746679812}","{""attn.o_proj"": {""max_weight"": 1.1354815621704315, ""max_weight_position"": 34.62115535320629, ""min_weight"": 0.8677828877442824, ""min_weight_distance"": 16.41921946254915}, ""mlp.down_proj"": {""max_weight"": 0.3653741755405121, ""max_weight_position"": 45.03475834526613, ""min_weight"": 0.0331428264171176, ""min_weight_distance"": 12.902326746679812}}"
gams,2,startup,42,0.029414493590593338,per layer,,"{""attn.o_proj.max_weight"": 1.4775578331732049, ""attn.o_proj.max_weight_position"": 34.884543380195495, ""attn.o_proj.min_weight"": 0.6969754975189398, ""attn.o_proj.min_weight_distance"": 24.37281080763281, ""direction_index"": 34.71555615856434, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.006565274291605916, ""mlp.down_proj.max_weight_position"": 39.729108589729364, ""mlp.down_proj.min_weight"": 0.844673207795607, ""mlp.down_proj.min_weight_distance"": 27.95498704977974}","{""attn.o_proj"": {""max_weight"": 1.4775578331732049, ""max_weight_position"": 34.884543380195495, ""min_weight"": 1.0298216058889011, ""min_weight_distance"": 24.37281080763281}, ""mlp.down_proj"": {""max_weight"": 0.006565274291605916, ""max_weight_position"": 39.729108589729364, ""min_weight"": 0.0055455112959488, ""min_weight_distance"": 27.95498704977974}}"
gams,3,startup,98,0.007190740201622248,global,26.71310013858545,"{""attn.o_proj.max_weight"": 1.0453603630149255, ""attn.o_proj.max_weight_position"": 43.08811714273638, ""attn.o_proj.min_weight"": 0.025295045763543023, ""attn.o_proj.min_weight_distance"": 7.208090165205651, ""direction_index"": 26.71310013858545, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 0.4420294874368681, ""mlp.down_proj.max_weight_position"": 45.939562830681275, ""mlp.down_proj.min_weight"": 0.8599730716237928, ""mlp.down_proj.min_weight_distance"": 25.95947442584456}","{""attn.o_proj"": {""max_weight"": 1.0453603630149255, ""max_weight_position"": 43.08811714273638, ""min_weight"": 0.026442438221856487, ""min_weight_distance"": 7.208090165205651}, ""mlp.down_proj"": {""max_weight"": 0.4420294874368681, ""max_weight_position"": 45.939562830681275, ""min_weight"": 0.38013345605937415, ""min_weight_distance"": 25.95947442584456}}"
gams,4,startup,34,0.03362606465816498,per layer,,"{""attn.o_proj.max_weight"": 1.1596435395178182, ""attn.o_proj.max_weight_position"": 37.001544310281716, ""attn.o_proj.min_weight"": 0.5936196427925672, ""attn.o_proj.min_weight_distance"": 24.971202538573625, ""direction_index"": 23.64189846648339, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.7501686670348249, ""mlp.down_proj.max_weight_position"": 31.002229609718214, ""mlp.down_proj.min_weight"": 0.8836282415397444, ""mlp.down_proj.min_weight_distance"": 5.157938515594083}","{""attn.o_proj"": {""max_weight"": 1.1596435395178182, ""max_weight_position"": 37.001544310281716, ""min_weight"": 0.6883871836952755, ""min_weight_distance"": 24.971202538573625}, ""mlp.down_proj"": {""max_weight"": 0.7501686670348249, ""max_weight_position"": 31.002229609718214, ""min_weight"": 0.6628702201101964, ""min_weight_distance"": 5.157938515594083}}"
gams,5,startup,97,0.0034280407708138227,per layer,,"{""attn.o_proj.max_weight"": 1.4601656453219194, ""attn.o_proj.max_weight_position"": 33.82298020957671, ""attn.o_proj.min_weight"": 0.4071242335307148, ""attn.o_proj.min_weight_distance"": 8.121191221355227, ""direction_index"": 18.863406288820105, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": -0.19971559904867744, ""mlp.down_proj.max_weight_position"": 38.52685927279809, ""mlp.down_proj.min_weight"": 0.6640400492774723, ""mlp.down_proj.min_weight_distance"": 9.86309545749661}","{""attn.o_proj"": {""max_weight"": 1.4601656453219194, ""max_weight_position"": 33.82298020957671, ""min_weight"": 0.594468819179568, ""min_weight_distance"": 8.121191221355227}, ""mlp.down_proj"": {""max_weight"": 0.0, ""max_weight_position"": 38.52685927279809, ""min_weight"": 0.0, ""min_weight_distance"": 9.86309545749661}}"
gams,6,startup,29,0.02022579498589039,global,29.901351072329795,"{""attn.o_proj.max_weight"": 1.2832623221092714, ""attn.o_proj.max_weight_position"": 34.28813205531377, ""attn.o_proj.min_weight"": 0.6920298921817408, ""attn.o_proj.min_weight_distance"": 19.32885295222423, ""direction_index"": 29.901351072329795, ""direction_scope"": ""global"", ""mlp.down_proj.max_weight"": 0.5596493700635686, ""mlp.down_proj.max_weight_position"": 28.40787547445878, ""mlp.down_proj.min_weight"": 0.7604160891076248, ""mlp.down_proj.min_weight_distance"": 26.952401878822062}","{""attn.o_proj"": {""max_weight"": 1.2832623221092714, ""max_weight_position"": 34.28813205531377, ""min_weight"": 0.8880558864101694, ""min_weight_distance"": 19.32885295222423}, ""mlp.down_proj"": {""max_weight"": 0.5596493700635686, ""max_weight_position"": 28.40787547445878, ""min_weight"": 0.4255663852552847, ""min_weight_distance"": 26.952401878822062}}"
gams,7,startup,31,0.16873842477798462,per layer,,"{""attn.o_proj.max_weight"": 1.3058603245031022, ""attn.o_proj.max_weight_position"": 29.356814435097565, ""attn.o_proj.min_weight"": 0.4259316201493918, ""attn.o_proj.min_weight_distance"": 18.9284332033305, ""direction_index"": 20.998510387591697, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.2306890494321627, ""mlp.down_proj.max_weight_position"": 31.39010548214005, ""mlp.down_proj.min_weight"": 0.4726418364688967, ""mlp.down_proj.min_weight_distance"": 16.34098984990031}","{""attn.o_proj"": {""max_weight"": 1.3058603245031022, ""max_weight_position"": 29.356814435097565, ""min_weight"": 0.5562072037044168, ""min_weight_distance"": 18.9284332033305}, ""mlp.down_proj"": {""max_weight"": 1.2306890494321627, ""max_weight_position"": 31.39010548214005, ""min_weight"": 0.5816751324457782, ""min_weight_distance"": 16.34098984990031}}"
gams,8,startup,84,0.004137443378567696,per layer,,"{""attn.o_proj.max_weight"": 1.0409743294973834, ""attn.o_proj.max_weight_position"": 43.93091813775781, ""attn.o_proj.min_weight"": 0.8389928586602876, ""attn.o_proj.min_weight_distance"": 1.2604236952408097, ""direction_index"": 30.39539790086107, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.0276447640986017, ""mlp.down_proj.max_weight_position"": 44.8299102869405, ""mlp.down_proj.min_weight"": 0.3670353389460309, ""mlp.down_proj.min_weight_distance"": 10.863314402762901}","{""attn.o_proj"": {""max_weight"": 1.0409743294973834, ""max_weight_position"": 43.93091813775781, ""min_weight"": 0.8733700284969859, ""min_weight_distance"": 1.2604236952408097}, ""mlp.down_proj"": {""max_weight"": 1.0276447640986017, ""max_weight_position"": 44.8299102869405, ""min_weight"": 0.37718194430704427, ""min_weight_distance"": 10.863314402762901}}"
gams,9,startup,90,0.004156257025897503,per layer,,"{""attn.o_proj.max_weight"": 0.974699802673833, ""attn.o_proj.max_weight_position"": 32.78000784494932, ""attn.o_proj.min_weight"": 0.07874977488223855, ""attn.o_proj.min_weight_distance"": 3.9242191064593097, ""direction_index"": 26.039046006841954, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.4307450670267685, ""mlp.down_proj.max_weight_position"": 39.25037951458715, ""mlp.down_proj.min_weight"": 0.48952950933232975, ""mlp.down_proj.min_weight_distance"": 11.632205261315393}","{""attn.o_proj"": {""max_weight"": 0.974699802673833, ""max_weight_position"": 32.78000784494932, ""min_weight"": 0.0767573900383267, ""min_weight_distance"": 3.9242191064593097}, ""mlp.down_proj"": {""max_weight"": 0.4307450670267685, ""max_weight_position"": 39.25037951458715, ""min_weight"": 0.21086242130893548, ""min_weight_distance"": 11.632205261315393}}"
gams,10,startup,92,0.003226533532142639,per layer,,"{""attn.o_proj.max_weight"": 1.1535209660475816, ""attn.o_proj.max_weight_position"": 36.405084252854266, ""attn.o_proj.min_weight"": 0.5045441725825995, ""attn.o_proj.min_weight_distance"": 7.2465938310708236, ""direction_index"": 33.80360645824462, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 0.1420199015897604, ""mlp.down_proj.max_weight_position"": 44.30818832919783, ""mlp.down_proj.min_weight"": 0.599468715310531, ""mlp.down_proj.min_weight_distance"": 19.678844000856213}","{""attn.o_proj"": {""max_weight"": 1.1535209660475816, ""max_weight_position"": 36.405084252854266, ""min_weight"": 0.582002281371158, ""min_weight_distance"": 7.2465938310708236}, ""mlp.down_proj"": {""max_weight"": 0.1420199015897604, ""max_weight_position"": 44.30818832919783, ""min_weight"": 0.08513648795454172, ""min_weight_distance"": 19.678844000856213}}"
gams,11,startup,98,0.002667895518243313,per layer,,"{""attn.o_proj.max_weight"": 0.9302495731712805, ""attn.o_proj.max_weight_position"": 32.17963361875723, ""attn.o_proj.min_weight"": 0.43707090665945725, ""attn.o_proj.min_weight_distance"": 5.5636172733736355, ""direction_index"": 27.749509133815764, ""direction_scope"": ""per layer"", ""mlp.down_proj.max_weight"": 1.2888098647606268, ""mlp.down_proj.max_weight_position"": 39.28875554069061, ""mlp.down_proj.min_weight"": 0.2920482015124508, ""mlp.down_proj.min_weight_distance"": 2.5170793011560244}","{""attn.o_proj"": {""max_weight"": 0.9302495731712805, ""max_weight_position"": 32.17963361875723, ""min_weight"": 0.4065850243655447, ""min_weight_distance"": 5.5636172733736355}, ""mlp.down_proj"": {""max_weight"": 1.2888098647606268, ""max_weight_position"": 39.28875554069061, ""min_weight"": 0.376394603094846, ""min_weight_distance"": 2.5170793011560244}}"
