artifact,judge_a,judge_b,scope,cell,lang,definition,n,kappa,kappa_ci_low,kappa_ci_high,raw_agreement,pabak,ac1,note
exp3,gpt41,keyword,pooled_all,*,*,binary,1596,0.5508028414128258,0.5077819968375912,0.5899026011149223,0.7744360902255639,0.5488721804511278,0.5525150002803791,
exp3,gpt41,keyword,pooled_orig,*,*,binary,228,0.7258297258297259,0.6046626809204506,0.8328885311396104,0.9122807017543859,0.8245614035087718,0.871599932421017,
exp3,gpt41,keyword,pooled_edited,*,*,binary,1368,0.4881760660247593,0.44206060746328096,0.5335448767600921,0.7514619883040936,0.5029239766081872,0.5231856512833761,
exp3,gpt41,keyword,cell_edited,gams3:C1,*,binary,114,0.1489194499017684,-0.043978705809385565,0.33100272489206567,0.6666666666666666,0.33333333333333326,0.4555052790346908,
exp3,gpt41,keyword,cell_edited,gams3:C2,*,binary,114,0.1612713360800472,-0.014933946008041214,0.3603491271820449,0.7807017543859649,0.5614035087719298,0.7085442552538733,
exp3,gpt41,keyword,cell_edited,gams3:C3,*,binary,114,0.4466019417475728,0.24497314265382758,0.6392711385034912,0.8245614035087719,0.6491228070175439,0.7451944568618686,
exp3,gpt41,keyword,cell_edited,gams3:C4,*,binary,114,0.5273631840796019,0.34284122562674124,0.6934481142023289,0.8245614035087719,0.6491228070175439,0.7212713936430318,
exp3,gpt41,keyword,cell_edited,gams3:C6,*,binary,114,0.6117647058823528,0.3746341372809421,0.790331781522523,0.9035087719298246,0.8070175438596492,0.8717594723117043,
exp3,gpt41,keyword,cell_edited,gams3:C6r,*,binary,114,0.048237476808905354,-0.09424083769633455,0.20163928730264605,0.7631578947368421,0.5263157894736843,0.6904199145084234,
exp3,gpt41,keyword,cell_edited,gemma:C1,*,binary,114,0.18772266374349134,0.09220495738057263,0.2888202097668437,0.543859649122807,0.08771929824561409,0.14680483592400695,
exp3,gpt41,keyword,cell_edited,gemma:C2,*,binary,114,0.1109185441941074,0.02404371584699483,0.21917808219178092,0.6052631578947368,0.21052631578947367,0.37731383140134733,
exp3,gpt41,keyword,cell_edited,gemma:C3,*,binary,114,0.24849527085124673,0.14316394434361768,0.37507413235797477,0.5964912280701754,0.1929824561403508,0.25890333521763703,
exp3,gpt41,keyword,cell_edited,gemma:C4,*,binary,114,0.3410404624277457,0.12942848215476874,0.5386721144264978,0.8245614035087719,0.6491228070175439,0.7648999793771912,
exp3,gpt41,keyword,cell_edited,gemma:C6,*,binary,114,0.6486902927580892,0.19369414223369583,1.0,0.9649122807017544,0.9298245614035088,0.961025641025641,
exp3,gpt41,keyword,cell_edited,gemma:C6r,*,binary,114,0.3899665551839463,0.24571177944862158,0.5345684803774252,0.7192982456140351,0.4385964912280702,0.5113849450843826,
exp4,gpt41,qwen3_14b,pooled_all,*,*,binary,715,0.9125865162778775,0.8820102340143002,0.9411837039047286,0.9566433566433566,0.9132867132867133,0.9139759489716118,
exp4,gpt41,qwen3_14b,pooled_all,*,*,4class,715,0.8333927298645758,0.7972788333229636,0.8685396314300314,0.9048951048951049,,0.8825927632677785,
exp4,gpt41,qwen3_14b,pooled_orig,*,*,binary,361,0.9443373679747128,0.9034403599239287,0.9791919244468111,0.9778393351800554,0.9556786703601108,0.9631843967110715,
exp4,gpt41,qwen3_14b,pooled_orig,*,*,4class,361,0.8523242841204908,0.7938053109003552,0.9078775145188237,0.9390581717451524,,0.9293561973436674,
exp4,gpt41,qwen3_14b,pooled_edited,*,*,binary,354,0.7793376334760691,0.6781752753241065,0.8611100211683882,0.9350282485875706,0.8700564971751412,0.9079193644151659,
exp4,gpt41,qwen3_14b,pooled_edited,*,*,4class,354,0.7272635915988342,0.6549474932895708,0.7893322847012572,0.8700564971751412,,0.8456136802485249,
exp4,gpt41,qwen3_14b,cell_edited,gams_edit,*,binary,189,0.0,0.0,0.0,0.9894179894179894,0.9788359788359788,0.9893054180223511,
exp4,gpt41,qwen3_14b,cell_edited,gams_edit,*,4class,189,0.17547261269995,0.0,0.49404328365392464,0.9523809523809523,,0.9514594044431338,
exp4,gpt41,qwen3_14b,cell_edited,gemma_edit,*,binary,165,0.7298245614035089,0.6172052389654982,0.8329236736105642,0.8727272727272727,0.7454545454545454,0.7595836947094536,
exp4,gpt41,qwen3_14b,cell_edited,gemma_edit,*,4class,165,0.6607767961326887,0.5569559526428624,0.7553387696741085,0.7757575757575758,,0.7127441831285241,
exp4,gpt41,keyword,pooled_all,*,*,binary,716,0.6785615618381067,0.6262771031617701,0.7302024783084536,0.8365921787709497,0.6731843575418994,0.673963427330452,
exp4,gpt41,keyword,pooled_orig,*,*,binary,361,0.7637783641160951,0.6759919075507616,0.8422059927984094,0.9141274238227147,0.8282548476454294,0.8655097613882864,
exp4,gpt41,keyword,pooled_edited,*,*,binary,355,0.4334545724465557,0.34411633060268754,0.521639856380386,0.7577464788732394,0.5154929577464789,0.5930689770076641,
exp4,gpt41,keyword,cell_edited,gams_edit,*,binary,189,-0.01952221936809491,-0.044642857142856554,0.0,0.8888888888888888,0.7777777777777777,0.8758620689655172,
exp4,gpt41,keyword,cell_edited,gemma_edit,*,binary,166,0.3008941298432033,0.19928750956789718,0.40476847486537926,0.608433734939759,0.2168674698795181,0.2216411181244364,
exp4,qwen3_14b,keyword,pooled_all,*,*,binary,4799,0.689653721594035,0.6706772330994492,0.7099876401311067,0.8443425713690352,0.6886851427380705,0.6935080679721821,
exp4,qwen3_14b,keyword,pooled_orig,*,*,binary,1920,0.7850072610125357,0.7518420669851132,0.8155899443334638,0.9161458333333333,0.8322916666666667,0.8632203008471963,
exp4,qwen3_14b,keyword,pooled_edited,*,*,binary,2879,0.46025773096930667,0.4255766420819781,0.4931796580971103,0.7964571031608197,0.5929142063216395,0.6811951322890899,
exp4,qwen3_14b,keyword,cell_edited,community_ref,*,binary,960,0.37177219667492023,0.2817644550687833,0.46316850618059696,0.884375,0.76875,0.8588505512656892,
exp4,qwen3_14b,keyword,cell_edited,gams_edit,*,binary,960,0.020023557126029316,-0.0081696906268181,0.06178099982507949,0.8645833333333334,0.7291666666666667,0.8443769967254326,
exp4,qwen3_14b,keyword,cell_edited,gemma_edit,*,binary,959,0.3434413590965287,0.2972057381975156,0.39167291786763103,0.6402502606882169,0.2805005213764338,0.2852289727954718,
exp5,gpt41,nemotron,pooled_all,*,*,binary,200,0.8275862068965516,0.7440401358547903,0.9047619047619047,0.92,0.8400000000000001,0.8508714698480754,
exp5,gpt41,nemotron,pooled_all,*,*,4class,200,0.7651863195507912,0.6783621971459062,0.846431342567634,0.885,,0.862635311683464,
exp5,gpt41,nemotron,pooled_orig,*,*,binary,74,1.0,1.0,1.0,1.0,1.0,1.0,
exp5,gpt41,nemotron,pooled_orig,*,*,4class,74,1.0,1.0,1.0,1.0,1.0,1.0,
exp5,gpt41,nemotron,pooled_edited,*,*,binary,126,0.7424629535002555,0.6190356061698141,0.8532988357050454,0.873015873015873,0.746031746031746,0.7500619885940988,
exp5,gpt41,nemotron,pooled_edited,*,*,4class,126,0.6717263253285002,0.5616331021158413,0.777542372881356,0.8174603174603174,,0.7762306157904897,
exp5,gpt41,nemotron,cell_edited,gams:edit,*,binary,59,0.6429652042360059,0.4005456711370711,0.855992152344299,0.864406779661017,0.728813559322034,0.7815826006478482,
exp5,gpt41,nemotron,cell_edited,gams:edit,*,4class,59,0.5398920215956807,0.35581158070475355,0.7293732811286292,0.7796610169491526,,0.7385078697653277,
exp5,gpt41,nemotron,cell_edited,gemma:edit,*,binary,67,0.7554744525547444,0.5952704966758096,0.905233380480905,0.8805970149253731,0.7611940298507462,0.7698583082868183,
exp5,gpt41,nemotron,cell_edited,gemma:edit,*,4class,67,0.7152571185720357,0.5656350156478314,0.8550079321708774,0.8507462686567164,,0.819561021589838,
exp5,gpt41,keyword,pooled_all,*,*,binary,1072,0.7071535299936673,0.662032680305993,0.7484189528935123,0.8768656716417911,0.7537313432835822,0.7881372173246455,
exp5,gpt41,keyword,pooled_orig,*,*,binary,543,0.08077388149939602,-0.009481316229783375,0.2638736113369149,0.9613259668508287,0.9226519337016574,0.9596531793952754,
exp5,gpt41,keyword,pooled_edited,*,*,binary,529,0.5713096741693617,0.5002256469078502,0.6385253108477348,0.7901701323251418,0.5803402646502835,0.5916407323052315,
exp5,gpt41,keyword,cell_edited,gams:edit,*,binary,261,-0.06741851530548999,-0.0897174482959518,-0.04349912042219848,0.8735632183908046,0.7471264367816093,0.8565754964406145,
exp5,gpt41,keyword,cell_edited,gemma:edit,*,binary,268,0.2280649926144758,0.10170475530039677,0.3507378933019336,0.7089552238805971,0.4179104477611941,0.5427021351067555,
exp5,nemotron,keyword,pooled_all,*,*,binary,850,0.6643267129210385,0.6063145912028496,0.7160206403810591,0.8635294117647059,0.7270588235294118,0.7701428098526208,
