artifact,ablated_checkpoint,pair_set,channels,n_pairs,delta_lang_by_channel,cost_shift_low,cost_shift_high,counterfactual_residual_gap_sl_minus_en_low,counterfactual_residual_gap_sl_minus_en_high,rank_inversion_possible,rank_detail,functional_form,form_tag,scope_caveat,source
exp11,B_keyword_t96,S4hoc,"qwen,polyguard",70,"qwen:-1.114 [-1.286,-0.943]; polyguard:-0.914 [-1.071,-0.757]",-1.2857142857142858,-0.7571428571428571,0.1,0.5285714285714286,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==B_keyword_t96, pair_set==S4hoc]"
exp11,B_keyword_t96,S5X,"qwen,polyguard",100,"qwen:-1.600 [-1.700,-1.500]; polyguard:-1.550 [-1.660,-1.430]",-1.7,-1.43,0.53,0.77,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==B_keyword_t96, pair_set==S5X]"
exp11,C_corrected,S4hoc,"qwen,polyguard",70,"qwen:-0.929 [-1.129,-0.729]; polyguard:-0.743 [-0.914,-0.571]",-1.1285714285714286,-0.5714285714285714,0.08571428571428572,0.5285714285714286,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==C_corrected, pair_set==S4hoc]"
exp11,C_corrected,S5X,"qwen,polyguard",100,"qwen:-1.180 [-1.290,-1.060]; polyguard:-1.360 [-1.490,-1.230]",-1.49,-1.06,0.29,0.66,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==C_corrected, pair_set==S5X]"
exp11,D2_reselected_judge,S4hoc,"qwen,polyguard",70,"qwen:-0.971 [-1.129,-0.814]; polyguard:-0.743 [-0.929,-0.557]",-1.1285714285714286,-0.5571428571428572,0.1,0.5857142857142857,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==D2_reselected_judge, pair_set==S4hoc]"
exp11,D2_reselected_judge,S5X,"qwen,polyguard",100,"qwen:-1.200 [-1.330,-1.080]; polyguard:-1.390 [-1.520,-1.250]",-1.52,-1.08,0.31,0.7,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==D2_reselected_judge, pair_set==S5X]"
exp11,D_reselected_clf,S4hoc,"qwen,polyguard",70,"qwen:-1.100 [-1.271,-0.914]; polyguard:-1.000 [-1.157,-0.829]",-1.2714285714285714,-0.8285714285714286,0.15714285714285714,0.5285714285714286,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==D_reselected_clf, pair_set==S4hoc]"
exp11,D_reselected_clf,S5X,"qwen,polyguard",100,"qwen:-1.210 [-1.320,-1.100]; polyguard:-1.450 [-1.550,-1.340]",-1.55,-1.1,0.21,0.63,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==D_reselected_clf, pair_set==S5X]"
exp11,F_dose1.5,S4hoc,"qwen,polyguard",70,"qwen:-0.686 [-0.871,-0.500]; polyguard:-0.700 [-0.900,-0.500]",-0.9,-0.4996428571428591,0.15714285714285714,0.42857142857142855,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==F_dose1.5, pair_set==S4hoc]"
exp11,F_dose1.5,S5X,"qwen,polyguard",100,"qwen:-1.050 [-1.180,-0.920]; polyguard:-1.200 [-1.330,-1.070]",-1.33,-0.92,0.24,0.59,True,"[{""channel"": ""qwen"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}, {""channel"": ""polyguard"", ""keyword_view_residual_refusal_order"": ""EN>SL"", ""reference_view_residual_refusal_order"": ""SL>EN"", ""inverted"": true}]","ASSUMPTION (not established by the verified material): SafetyCost_L = O(M_aligned, L) - O(M_unaligned, L), with O measured in refusal-rate units and M_unaligned the ablated checkpoint. If the ablated counterfactual is VERIFIED with an English keyword score, its per-language state error is d_L = p_kw,L - p_ref,L, and a cross-language cost difference (SL minus EN) shifts by Delta_lang = d_SL - d_EN (unit cost per refusal-rate point = 1).",ASSUMPTION,"SENSITIVITY ANALYSIS ONLY: one model pair (gemma-3-12b-it, GaMS3-12B-Instruct) + one outside-family community edit; NF4 throughout; one optimiser seed per search; machine-translated Slovene, native review PENDING; two languages in the paired panels; counterfactual produced by Heretic, not by the cited design's tool; cost functional form is an ASSUMPTION. NOT a re-estimate of any published number and NOT a claim that any published ranking is wrong.","results/delta_lang.csv [artifact==exp11, unit==F_dose1.5, pair_set==S5X]"
