model,lang,a,b,count_a,count_b,diff_b_minus_a,ci_low,ci_high,n10_a1_b0,n01_a0_b1,p_exact
gams,en,own,swap,16,25,0.09,0.0,0.18,6,15,0.0783538818359375
gams,en,orig,own,98,16,-0.82,-0.89,-0.74,82,0,4.1359030627651384e-25
gams,en,orig,swap,98,25,-0.73,-0.81025,-0.64,73,0,2.117582368135751e-22
gams,sl,own,swap,10,25,0.15,0.08,0.23,1,16,0.000274658203125
gams,sl,orig,own,97,10,-0.87,-0.94,-0.79,88,1,2.908056841006738e-25
gams,sl,orig,swap,97,25,-0.72,-0.81,-0.63,73,1,7.940933880509066e-21
gemma,en,own,swap,69,53,-0.16,-0.29,-0.04,29,13,0.019520472782460274
gemma,en,orig,own,100,69,-0.31,-0.41,-0.22,31,0,9.313225746154785e-10
gemma,en,orig,swap,100,53,-0.47,-0.57,-0.38,47,0,1.4210854715202004e-14
gemma,sl,own,swap,90,25,-0.65,-0.74,-0.56,65,0,5.421010862427522e-20
gemma,sl,orig,own,97,90,-0.07,-0.12,-0.02,7,0,0.015625
gemma,sl,orig,swap,97,25,-0.72,-0.81,-0.63,72,0,4.235164736271502e-22
