00:06:12|INFO   |queue: 4488 generations; already judged 1112; spent $1.113
00:06:13|INFO   |second judge (nvidia/nemotron-3-ultra-550b-a55b:free): 576 to judge
00:06:17|WARNING|j0013720bac attempt 0: {'id': 'gen-1790208376-Lo1wLMnabF14wSFB4m4c', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:22|WARNING|j0114573c0b attempt 0: {'id': 'gen-1790208381-rHaBeyGAPt0ovBeOF1oC', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:26|WARNING|j0ac3e59117 attempt 0: {'id': 'gen-1790208385-aV16uZraTKeonXHNhhH5', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:26|WARNING|j17dc8cd107 attempt 0: {'id': 'gen-1790208385-7EsoDDeDYqjHf8xHke8N', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:27|WARNING|j00015f6a3a attempt 0: {'id': 'gen-1790208387-BKqPCBcqPX2hQJraoekr', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:28|WARNING|j38121469b7 attempt 0: {'id': 'gen-1790208387-2EBNjjKzZcjq4eXNUowz', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:29|WARNING|j4c174bacc4 attempt 0: {'id': 'gen-1790208389-MyHZTTNHrFiZqk9nessG', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:30|WARNING|j051c3cb504 attempt 0: {'id': 'gen-1790208389-tFUE5Tb5ECnHZ6tThHaw', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:30|WARNING|j009727dcf7 attempt 0: {'id': 'gen-1790208389-niCBK32XS0Y8ANWGer0A', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:30|WARNING|j00e4ab6fa1 attempt 0: {'id': 'gen-1790208389-MW8949cx0Ff6DQB25How', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:31|WARNING|j68eb423e0e attempt 0: {'id': 'gen-1790208390-x2zBvjUQIviniMQFYxLB', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:31|WARNING|j0dd0dd5f6a attempt 0: {'id': 'gen-1790208391-MtUy30qEWpNf2FWNRvg9', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:35|WARNING|j012f8a238b attempt 0: {'id': 'gen-1790208394-KTtJ8J19h0OhCWLpumTv', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:38|WARNING|j124002c1d6 attempt 0: {'id': 'gen-1790208397-icHaPX8CmTPGGabKLe9Q', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:42|WARNING|j0280b05fbf attempt 0: {'id': 'gen-1790208401-wXoi1sxC7Hfl7gGy7bq8', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:44|WARNING|j01d4582a8a attempt 0: {'id': 'gen-1790208403-2PvV3vQF67iTy5j8TFuw', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:54|WARNING|j0164d954eb attempt 0: {'id': 'gen-1790208413-MILUcP6C8FVOcd3rTpnl', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:06:56|WARNING|j05c73237bb attempt 0: {'id': 'gen-1790208416-6QOgmwYeGtadkgljJhyL', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:00|WARNING|j1d4644708e attempt 0: {'id': 'gen-1790208419-3f9tTmy9WCQhDm3TvvGX', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:03|WARNING|j035b7481a1 attempt 0: {'id': 'gen-1790208422-AEL81yQiwPPyOD0yQUDb', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:09|WARNING|j069ada9d63 attempt 0: {'id': 'gen-1790208429-Z4FJAwb6TNpL7X6mdP6g', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:11|WARNING|j2c995904fb attempt 0: {'id': 'gen-1790208430-F9GDQKjaIDuBscALYkoI', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:11|WARNING|j28d9391d5f attempt 0: {'id': 'gen-1790208431-Mlenl5w6kql6BK3lcswf', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:12|WARNING|j034a6c59ef attempt 0: {'id': 'gen-1790208432-LQTTkMgWUavYH7jyGfmm', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:18|WARNING|j3b84999a60 attempt 0: {'id': 'gen-1790208437-kCUfQlMWcPKX38LFN4aP', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:24|WARNING|j036b0712be attempt 0: {'id': 'gen-1790208444-52xNtTqCJbj0JQh2hFdH', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:25|WARNING|j2b20f63d38 attempt 0: {'id': 'gen-1790208444-AT8OgvTjgoSvaetG7pQd', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:38|WARNING|j07678832b3 attempt 0: {'id': 'gen-1790208457-X9viuwmDMRYVvxZgv4YK', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:39|WARNING|j2099a3c509 attempt 0: {'id': 'gen-1790208459-xDYwyyZZqIsIY1G6K9Cv', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:51|WARNING|j10c2a43369 attempt 0: {'id': 'gen-1790208471-eteMIwYKPhffUZc2dgfC', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:51|WARNING|j0ae4badf9d attempt 0: {'id': 'gen-1790208471-mNj3kOSDGE62F7opwBzl', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:54|WARNING|j0896e99a84 attempt 0: {'id': 'gen-1790208473-mbS2lKZLXSoiS6AqIa0U', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:57|WARNING|j07ec369a8b attempt 0: {'id': 'gen-1790208476-6uMhtom6WZvb9AAK1JTX', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:58|WARNING|j12fab519d9 attempt 0: {'id': 'gen-1790208477-Ow6wb0TVAHA9Q0XqQ803', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:07:58|WARNING|j07d5e43c60 attempt 0: {'id': 'gen-1790208477-78nYa0bK8zY0nVUjO0cB', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
00:08:04|WARNING|j0824905c99 attempt 0: {'id': 'gen-1790208483-vDbdl8CZnKwjPW7ojyfH', 'error': {'message': 'Upstream error from Nvidia: Service temporarily overloaded', 'code': 503, 'metadata': {'error_type': 'provider_overloaded'}}}
