claim_id,neighbour_ids,producing_file_path,tag,paper_sections_to_reconcile,note
C01,N1,n/a,OBSERVATION,related work,NEIGHBOUR NAMED
C02,"N2,N24",n/a,OBSERVATION,related work; discussion,NEIGHBOUR NAMED (with the contradicting line N24 cited beside it)
C03,"N4,N6,N10,N12,N22","0.24 / 0.81 / -0.57 [-0.70,-0.44] - iter_3/gen_art/gen_art_experiment_10/results/report_tables.md (E3_B2_vs_STR4 row)",OBSERVATION,abstract; results; discussion,NEIGHBOUR NAMED; delta = matched-energy AND matched-count construction
C04,N12,"-0.10 [-0.150,-0.060], Holm p 0.000 - iter_3/gen_art/gen_art_experiment_10/results/report_tables.md (PB2 row)",FAILED HYPOTHESIS,results; discussion (falsified column),NEIGHBOUR NAMED (N12 reports the same non-additivity in transplantation)
C05,"N10,N12",0.325 / 0.718 / 0.400 - iter_3/gen_art/gen_art_experiment_10/results/report_tables.md (nested R2 table),OBSERVATION,results,NEIGHBOUR NAMED
C06,"N10,N12,N28","-0.942, p 0.0038 - iter_3/gen_art/gen_art_experiment_9/results/report_tables.md (band-density lines 268-270)",OBSERVATION,results,NEIGHBOUR NAMED
C07,N28,+0.39 / 0.00 - iter_3/gen_art/gen_art_experiment_9/results/report_tables.md,OBSERVATION,results,"NEIGHBOUR NAMED (N28 reports no single layer is necessary, English only)"
C08,"N10,N11","dR2 0.040 [0.006,0.136]; LOO -0.002; MDE 0.071 - iter_3/gen_art/gen_art_experiment_9/results/report_tables.md (P1)",FAILED HYPOTHESIS,results; discussion (falsified column),NEIGHBOUR NAMED
C09,"N3,N6","-0.009 [-0.131,0.192], p 0.1628 - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P1)",FAILED HYPOTHESIS,abstract; results; discussion,NEIGHBOUR NAMED
C10,N9,B_cos 0.01 - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P4),OBSERVATION,results; discussion,NEIGHBOUR NAMED (N9 states cosine is unreliable cross-architecture; cross-lingual weight-edit case not found)
C11,"N3,N7,N8",B_ss 0.73 / B_base 0.66 with deltas - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P4) and results/report_tables.md T4,OBSERVATION,abstract; results; discussion; conclusion,"NO NEIGHBOUR FOUND for the conjunction (see search_log.md rows 2,4,8,11,13,18,20,21); partial neighbours named"
C12,"N3,N7",no new number; derived from C11 - iter_3/gen_art/gen_art_experiment_12/results/analysis.json (P4),INTERPRETATION,abstract; conclusion,"NO NEIGHBOUR FOUND after the searches logged in results/search_log.md rows 2,4,8,11,13,18,20,21 (evidenced absence)"
C13,"N2,N24,N25",0.60/0.53/0.75/0.92 - iter_3/gen_art/gen_art_experiment_12/results/report_tables.md (W3 rows),OBSERVATION,results,NEIGHBOUR NAMED
