checkpoint,dataset,definition,judges,n_judges,gap_min,gap_max,llm_gap_min,llm_gap_max,widest_ci,sign_stable,sign_of_points_stable
community_ref,"exp4 S5 (RefusEU, unpaired)",broad,qwen3_14b,1,0.08214285714285716,0.08214285714285716,0.08214285714285716,0.08214285714285716,"[0.024, 0.143]",True,True
community_ref,"exp4 S5 (RefusEU, unpaired)",strict,"keyword,qwen3_14b",2,0.060714285714285714,0.28214285714285714,0.060714285714285714,0.060714285714285714,"[0.018, 0.341]",True,True
community_ref,"exp4 S5X (paired, verified translations)",broad,qwen3_14b,1,0.13,0.13,0.13,0.13,"[0.040, 0.220]",True,True
community_ref,"exp4 S5X (paired, verified translations)",strict,"qwen3_14b,keyword",2,0.12000000000000001,0.25,0.12000000000000001,0.12000000000000001,"[0.050, 0.350]",True,True
community_ref,exp8 C0 S4-hoc,broad,"gpt41,qwen3_14b",2,-0.11428571428571432,0.3,-0.11428571428571432,0.3,"[-0.229, 0.429]",False,False
community_ref,exp8 C0 S4-hoc,strict,"gpt41,keyword,qwen3_14b",3,0.24285714285714283,0.5142857142857142,0.24285714285714283,0.3142857142857143,"[0.143, 0.629]",True,True
gams_edit,"exp4 S5 (RefusEU, unpaired)",broad,"gpt41,qwen3_14b",2,-0.007142857142857143,0.0026455026455026454,-0.007142857142857143,0.0026455026455026454,"[-0.045, 0.052]",False,False
gams_edit,"exp4 S5 (RefusEU, unpaired)",strict,"gpt41,keyword,qwen3_14b",3,-0.08571428571428572,0.0,-0.014285714285714285,0.0,"[-0.150, 0.000]",False,False
gams_edit,"exp4 S5X (paired, verified translations)",broad,"qwen3_14b,gpt41",2,-0.02,0.0,-0.02,0.0,"[-0.050, 0.000]",False,False
gams_edit,"exp4 S5X (paired, verified translations)",strict,"qwen3_14b,gpt41,keyword",3,-0.05000000000000002,0.0,-0.02,0.0,"[-0.130, 0.020]",False,False
gams_edit,exp5 S4 harmful (twins),broad,"gpt41,nemotron",2,0.024867724867724872,0.07781649245063882,0.024867724867724872,0.07781649245063882,"[-0.095, 0.248]",False,True
gams_edit,exp5 S4 harmful (twins),strict,"gpt41,keyword,nemotron",3,-0.023346303501945526,0.029036004645760755,0.011111111111111113,0.029036004645760755,"[-0.150, 0.195]",False,False
gams_edit,exp6 core JBB,broad,"gpt41,qwen3_14b",2,-0.1647058823529412,0.03562653562653563,-0.1647058823529412,0.03562653562653563,"[-0.271, 0.101]",False,False
