claim_id,section,verdict,severity,judge,within_edited_kappa,strict_or_broad,tags,source_path
E13.spearman_O_en,Exp13 confirmation,MATCH,none,Qwen3-14B local,0.856,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.dR2_O_over_nuisance_en,Exp13 nested R2,MATCH,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.R2_logE_alone_en,Exp13 nested R2,FIRST_REPORT,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.R2_O_alone_en,Exp13 nested R2,FIRST_REPORT,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.R2_cosine_alone_en,Exp13 nested R2,FIRST_REPORT,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.dR2_O_over_energy_count_en,Exp13 nested R2,FIRST_REPORT,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.rho_O_vs_cosine_en,Exp13 nested R2,MATCH,none,,,,,iter_4/gen_art/gen_art_experiment_13/results/cells/*.json
E13.spearman_O_sl,Exp13 confirmation,MATCH,none,Qwen3-14B local,0.744,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.dR2_O_over_nuisance_sl,Exp13 nested R2,MATCH,none,,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.R2_logE_alone_sl,Exp13 nested R2,FIRST_REPORT,none,,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.R2_O_alone_sl,Exp13 nested R2,FIRST_REPORT,none,,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.R2_cosine_alone_sl,Exp13 nested R2,FIRST_REPORT,none,,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.dR2_O_over_energy_count_sl,Exp13 nested R2,FIRST_REPORT,none,,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv + cells/*.json
E13.rho_O_vs_cosine_sl,Exp13 nested R2,MATCH,none,,,,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/cells/*.json
E13.pooled_matched_contrast_en,Exp13 confirmation,MATCH,none,Qwen3-14B local,0.856,strict,DEFINITION_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.matched_groups_favouring_highO_en,Exp13 confirmation,MATCH,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.pooled_matched_contrast_sl,Exp13 confirmation,MATCH,none,Qwen3-14B local,0.744,strict,JUDGE_SENSITIVE;DEFINITION_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.matched_groups_favouring_highO_sl,Exp13 confirmation,MATCH,none,,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.CF_dose_G3loO_x2.en,Exp13 confirmation,MATCH,none,Qwen3-14B local,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.CF_dose_G3loO_x2.sl,Exp13 confirmation,MATCH,none,Qwen3-14B local,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.CF_G3_hiO_L16-31.en,Exp13 confirmation,MATCH,none,Qwen3-14B local,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.CF_G3_hiO_L16-31.sl,Exp13 confirmation,MATCH,none,Qwen3-14B local,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.CF_G3_loO_L33-48.en,Exp13 confirmation,MATCH,none,Qwen3-14B local,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.CF_G3_loO_L33-48.sl,Exp13 confirmation,MATCH,none,Qwen3-14B local,,strict,JUDGE_SENSITIVE,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
E13.controls_max_abs_dev_from_noop,Exp13 confirmation,MATCH,none,,,strict,,iter_4/gen_art/gen_art_experiment_13/results/per_item.csv
