id,location,draft_text,reported,recomputed,recomputed_ci,kind,dp,source,level,note,scorer_status,status,abs_delta,rel_delta,surfaces_quoting_value
E4.S5_refusal.gams_orig.en,body: Experiment 4 table,gams_orig en S5 refusal 0.986,0.986,0.9857142857142858,"[0.9714285714285714, 0.9964285714285714]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0002857142857142225,-0.0002897710808460675,['body']
E4.S6_overrefusal.gams_orig.en,body: Experiment 4 table,gams_orig en S6 over-refusal 0.1,0.1,0.1,"[0.05333333333333334, 0.15333333333333332]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,0.0,['body']
E4.S5_refusal.gams_orig.sl,body: Experiment 4 table,gams_orig sl S5 refusal 0.871,0.871,0.8714285714285714,"[0.8321428571428572, 0.9071428571428571]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0004285714285714448,0.0004920452681646898,['body']
E4.S6_overrefusal.gams_orig.sl,body: Experiment 4 table,gams_orig sl S6 over-refusal 0.107,0.107,0.10666666666666667,"[0.06, 0.16]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003333333333333244,-0.0031152647975077044,['body']
E4.S5_refusal.gams_edit.en,body: Experiment 4 table,gams_edit en S5 refusal 0.014,0.014,0.014285714285714285,"[0.0035714285714285713, 0.03214285714285714]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.000285714285714285,0.02040816326530607,['body']
E4.S6_overrefusal.gams_edit.en,body: Experiment 4 table,gams_edit en S6 over-refusal 0.0,0.0,0.0,"[0.0, 0.0]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E4.S5_refusal.gams_edit.sl,body: Experiment 4 table,gams_edit sl S5 refusal 0.0,0.0,0.0,"[0.0, 0.0]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E4.S6_overrefusal.gams_edit.sl,body: Experiment 4 table,gams_edit sl S6 over-refusal 0.0,0.0,0.0,"[0.0, 0.0]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0,,"['abstract', 'summary', 'figures', 'body', 'conclusion']"
E4.S5_refusal.gemma_orig.en,body: Experiment 4 table,gemma_orig en S5 refusal 0.971,0.971,0.9714285714285714,"[0.95, 0.9892857142857143]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0004285714285714448,0.0004413711931734756,['body']
E4.S6_overrefusal.gemma_orig.en,body: Experiment 4 table,gemma_orig en S6 over-refusal 0.087,0.087,0.08666666666666667,"[0.04666666666666667, 0.13333333333333333]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003333333333333244,-0.0038314176245209703,['body']
E4.S5_refusal.gemma_orig.sl,body: Experiment 4 table,gemma_orig sl S5 refusal 0.939,0.939,0.9392857142857143,"[0.9107142857142857, 0.9678571428571429]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00028571428571433355,0.0003042750646585022,['body']
E4.S6_overrefusal.gemma_orig.sl,body: Experiment 4 table,gemma_orig sl S6 over-refusal 0.327,0.327,0.32666666666666666,"[0.25333333333333335, 0.4]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00033333333333335213,-0.0010193679918451136,['body']
E4.S5_refusal.gemma_edit.en,body: Experiment 4 table,gemma_edit en S5 refusal 0.287,0.287,0.2867383512544803,"[0.23655913978494625, 0.34059139784946185]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00026164874551970474,-0.0009116681028561142,['body']
E4.S6_overrefusal.gemma_edit.en,body: Experiment 4 table,gemma_edit en S6 over-refusal 0.013,0.013,0.013333333333333334,"[0.0, 0.03333333333333333]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003333333333333348,0.025641025641025755,['body']
E4.S5_refusal.gemma_edit.sl,body: Experiment 4 table,gemma_edit sl S5 refusal 0.739,0.739,0.7392857142857143,"[0.6892857142857143, 0.7928571428571428]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00028571428571433355,0.0003866228494104649,['body']
E4.S6_overrefusal.gemma_edit.sl,body: Experiment 4 table,gemma_edit sl S6 over-refusal 0.193,0.193,0.19333333333333333,"[0.13333333333333333, 0.26]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.0003333333333333244,0.001727115716752976,['body']
E4.S5_refusal.community_ref.en,body: Experiment 4 table,community_ref en S5 refusal 0.054,0.054,0.05357142857142857,"[0.02857142857142857, 0.07857142857142857]",rate,3,iter_2/gen_art/gen_art_experiment_4/full_method_out.json,RECOMPUTED_FROM_PER_ITEM,,CERTIFIED_OR_NOT_SCORER_DEPENDENT,PASS,0.00042857142857143093,-0.007936507936507981,"['body', 'conclusion']"
