artifact,language,condition,n,kappa_refused_vs_not,ci_lo,ci_hi,sensitivity,specificity,gate_0.80,reference,workhorse
exp10,en,edited,105,1.0,1.0,1.0,1.0,1.0,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp10,en,pooled,118,1.0,1.0,1.0,1.0,1.0,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp10,sl,edited,249,0.9785,0.9477,1.0,0.9893617021276596,1.0,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp10,sl,pooled,274,0.9792,0.9443,1.0,0.9906103286384976,1.0,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp10,sl,unedited,25,nan,,,1.0,,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp11,en,edited,65,0.2259,0.1096,0.37,1.0,0.46296296296296297,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp11,en,pooled,65,0.2259,0.1096,0.37,1.0,0.46296296296296297,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp11,sl,edited,70,0.7449,0.5816,0.8846,0.9696969696969697,0.7837837837837838,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp11,sl,pooled,70,0.7449,0.5816,0.8846,0.9696969696969697,0.7837837837837838,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp12,en,edited,68,0.7079,0.5425,0.8808,0.9375,0.7777777777777778,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp12,en,pooled,68,0.7079,0.5425,0.8808,0.9375,0.7777777777777778,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp12,sl,edited,56,0.64,0.4222,0.8447,0.9428571428571428,0.6666666666666666,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp12,sl,pooled,56,0.64,0.4222,0.8447,0.9428571428571428,0.6666666666666666,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gams_edit,en,cell,100,0.0,0.0,0.0,0.0,1.0,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gams_edit,sl,cell,87,0.0,0.0,0.0,0.0,1.0,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gams_orig,en,cell,89,0.9683,0.883,1.0,0.9855072463768116,1.0,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gams_orig,sl,cell,97,0.9756,0.9159,1.0,0.9852941176470589,1.0,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gemma_edit,en,cell,80,0.3882,0.102,0.6422,0.6,0.8714285714285714,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gemma_edit,sl,cell,84,0.8024,0.6604,0.9204,0.92,0.8823529411764706,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gemma_orig,en,cell,90,0.8942,0.7825,0.9756,0.953125,0.9615384615384616,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4:gemma_orig,sl,cell,80,0.9253,0.8092,1.0,0.9841269841269841,0.9411764705882353,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4,en,edited,180,0.4207,0.1578,0.669,0.5454545454545454,0.9467455621301775,MISS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4,en,pooled,359,0.89,0.8365,0.9363,0.9375,0.9534883720930233,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4,en,unedited,179,0.9284,0.8638,0.986,0.9699248120300752,0.9782608695652174,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4,sl,edited,171,0.8736,0.7856,0.9469,0.9019607843137255,0.9666666666666667,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4,sl,pooled,348,0.9309,0.8901,0.9656,0.9615384615384616,0.9698795180722891,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp4,sl,unedited,177,0.9562,0.9048,1.0,0.9847328244274809,0.9782608695652174,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp9,en,edited,345,0.841,0.7743,0.8993,0.978494623655914,0.9166666666666666,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp9,en,pooled,356,0.8464,0.7799,0.9061,0.979381443298969,0.918918918918919,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp9,sl,edited,349,0.8564,0.7994,0.9071,0.9333333333333333,0.9239130434782609,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp9,sl,pooled,361,0.8559,0.7949,0.9042,0.9371428571428572,0.9193548387096774,PASS,gpt-4.1 (in-artifact labels + eval2 calibration/supplement labels),Qwen3-14B
exp13,en,edited,374,0.8577,0.797,0.9082,,,PASS,gpt-4.1 judge_api.jsonl,Qwen3-14B
